acqUNIXTime	acqDateTimestamp	VAC.VGI_3(mbar)	VAC.VGHB_41740(mbar)	VAC.VGI_2(mbar)	TT900(°C)	TT909(°C)	
1439814484.654	14:28:04 17/08/2015		9.899980E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814485.578	14:28:05 17/08/2015		9.899980E-9	5.199989E-9	5.199989E-9	8.5694	0.3472	
1439814486.578	14:28:06 17/08/2015		9.999992E-9	-1.00000000	-1.00000000	8.5694	0.3472	
1439814487.551	14:28:07 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814488.551	14:28:08 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814489.551	14:28:09 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814490.551	14:28:10 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814491.551	14:28:11 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814492.468	14:28:12 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814493.417	14:28:13 17/08/2015		9.699980E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814494.367	14:28:14 17/08/2015		9.799979E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814495.367	14:28:15 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814496.339	14:28:16 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814497.290	14:28:17 17/08/2015		9.799979E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814498.240	14:28:18 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814499.190	14:28:19 17/08/2015		9.699980E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814500.190	14:28:20 17/08/2015		9.999992E-9	-1.00000000	5.099989E-9	8.5694	0.3472	
1439814501.214	14:28:21 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814502.120	14:28:22 17/08/2015		9.799979E-9	5.099989E-9	5.199989E-9	8.5694	0.3472	
1439814503.120	14:28:23 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814504.136	14:28:24 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
