acqUNIXTime	acqDateTimestamp	VAC.VVSB_41731(mbar)	VAC.VGI_3(mbar)	VAC.VVSB_41737(mbar)	VAC.VGI_2(mbar)	TT900(°C)	TT909(°C)	Store_Position_TS4M(°)	
1439823817.216	17:03:37 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439823818.563	17:03:38 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439823819.676	17:03:39 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439823820.983	17:03:40 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439823822.108	17:03:42 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439823823.211	17:03:43 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439823824.316	17:03:44 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439823825.459	17:03:45 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439823826.539	17:03:46 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439823827.642	17:03:47 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439823828.954	17:03:48 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439823830.075	17:03:50 17/08/2015		3.000000E+0	9.299980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439823831.175	17:03:51 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439823832.574	17:03:52 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439823833.720	17:03:53 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439823834.829	17:03:54 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439823836.141	17:03:56 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439823837.268	17:03:57 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439823838.427	17:03:58 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439823839.728	17:03:59 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439823841.037	17:04:01 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439823842.368	17:04:02 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439823843.450	17:04:03 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439823844.574	17:04:04 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439823845.932	17:04:05 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.4051	168.3478	
1439823847.061	17:04:07 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439823848.194	17:04:08 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439823849.302	17:04:09 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439823850.449	17:04:10 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439823851.541	17:04:11 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439823852.841	17:04:12 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439823853.946	17:04:13 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
