acqUNIXTime	acqDateTimestamp	VAC.VVSB_41731(mbar)	VAC.VGI_3(mbar)	VAC.VVSB_41737(mbar)	VAC.VGI_2(mbar)	TT900(°C)	TT909(°C)	Store_Position_TS4M(°)	
1439825174.811	17:26:14 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	168.3478	
1439825176.124	17:26:16 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439825177.257	17:26:17 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825178.385	17:26:18 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825179.490	17:26:19 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825180.785	17:26:20 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439825182.104	17:26:22 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439825183.175	17:26:23 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825184.283	17:26:24 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439825185.379	17:26:25 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439825186.496	17:26:26 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439825187.616	17:26:27 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439825188.713	17:26:28 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825189.798	17:26:29 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825190.906	17:26:30 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825191.987	17:26:31 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439825193.096	17:26:33 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439825194.204	17:26:34 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825195.281	17:26:35 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439825196.395	17:26:36 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825197.522	17:26:37 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439825198.624	17:26:38 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825200.023	17:26:40 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439825201.302	17:26:41 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439825202.432	17:26:42 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825203.612	17:26:43 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825204.887	17:26:44 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825206.099	17:26:46 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825207.364	17:26:47 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825208.483	17:26:48 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825209.548	17:26:49 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825210.947	17:26:50 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825212.087	17:26:52 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439825213.153	17:26:53 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825214.268	17:26:54 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439825215.388	17:26:55 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825216.455	17:26:56 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439825217.601	17:26:57 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439825218.726	17:26:58 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439825219.832	17:26:59 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825220.936	17:27:00 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439825222.066	17:27:02 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439825223.146	17:27:03 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825224.244	17:27:04 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439825225.355	17:27:05 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439825226.442	17:27:06 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825227.606	17:27:07 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439825228.780	17:27:08 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439825229.917	17:27:09 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
