acqUNIXTime	acqDateTimestamp	VAC.VVSB_41731(mbar)	VAC.VGI_3(mbar)	VAC.VVSB_41737(mbar)	VAC.VGI_2(mbar)	TT900(°C)	TT909(°C)	Store_Position_TS4M(°)	
1439824703.853	17:18:23 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824704.943	17:18:24 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824706.013	17:18:26 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439824707.120	17:18:27 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824708.237	17:18:28 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824709.378	17:18:29 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824710.517	17:18:30 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439824711.725	17:18:31 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824712.849	17:18:32 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824714.012	17:18:34 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824715.131	17:18:35 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824716.215	17:18:36 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439824717.343	17:18:37 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439824718.456	17:18:38 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824719.606	17:18:39 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824720.711	17:18:40 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824721.797	17:18:41 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824723.109	17:18:43 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824724.196	17:18:44 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824725.499	17:18:45 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824726.643	17:18:46 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824727.741	17:18:47 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824728.844	17:18:48 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824729.941	17:18:49 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824731.031	17:18:51 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824732.142	17:18:52 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824733.243	17:18:53 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824734.343	17:18:54 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824735.446	17:18:55 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439824736.585	17:18:56 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439824737.711	17:18:57 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.4051	168.3478	
1439824738.822	17:18:58 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439824739.923	17:18:59 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.4051	168.3478	
1439824741.222	17:19:01 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824742.355	17:19:02 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824743.452	17:19:03 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.4051	168.3478	
1439824744.572	17:19:04 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824745.674	17:19:05 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824746.761	17:19:06 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824747.887	17:19:07 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439824748.960	17:19:08 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
