acqUNIXTime	acqDateTimestamp	VAC.VGI_3(mbar)	VAC.VGHB_41740(mbar)	VAC.VGI_2(mbar)	TT900(°C)	
1439798251.500	09:57:31 17/08/2015			0.000000E+0	0.000000E+0	8.5556	
1439798252.510	09:57:32 17/08/2015		9.699980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798253.510	09:57:33 17/08/2015		9.599980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798254.510	09:57:34 17/08/2015		9.399980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798255.510	09:57:35 17/08/2015		9.699980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798256.510	09:57:36 17/08/2015		9.499980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798257.510	09:57:37 17/08/2015		9.699980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798258.510	09:57:38 17/08/2015		9.599980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798259.510	09:57:39 17/08/2015		9.399980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798260.510	09:57:40 17/08/2015		9.599980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798261.510	09:57:41 17/08/2015		9.399980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798262.511	09:57:42 17/08/2015		9.499980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798263.511	09:57:43 17/08/2015		9.499980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798264.512	09:57:44 17/08/2015		9.599980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798265.512	09:57:45 17/08/2015		9.599980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798266.512	09:57:46 17/08/2015		9.599980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798267.512	09:57:47 17/08/2015		9.599980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798268.512	09:57:48 17/08/2015		9.699980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798269.536	09:57:49 17/08/2015		9.499980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798270.535	09:57:50 17/08/2015		9.599980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798271.535	09:57:51 17/08/2015		9.699980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798272.535	09:57:52 17/08/2015		9.599980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798273.535	09:57:53 17/08/2015		9.499980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798274.535	09:57:54 17/08/2015		9.599980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798275.535	09:57:55 17/08/2015		9.699980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798276.535	09:57:56 17/08/2015		9.699980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798277.535	09:57:57 17/08/2015		9.299980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798278.535	09:57:58 17/08/2015		9.699980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798279.536	09:57:59 17/08/2015		9.499980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798280.536	09:58:00 17/08/2015		9.499980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798281.537	09:58:01 17/08/2015		9.599980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798282.537	09:58:02 17/08/2015		9.599980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798283.537	09:58:03 17/08/2015		9.599980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798284.537	09:58:04 17/08/2015		9.499980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798285.537	09:58:05 17/08/2015		9.599980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798286.537	09:58:06 17/08/2015		9.399980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798287.536	09:58:07 17/08/2015		9.499980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798288.536	09:58:08 17/08/2015		9.399980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798289.536	09:58:09 17/08/2015		9.499980E-9	0.000000E+0	0.000000E+0	8.5556	
1439798290.536	09:58:10 17/08/2015		9.599980E-9	0.000000E+0	0.000000E+0	8.5556	
