acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	VGHB_41740(mbar)	TT909(°C)	VGHB_41752(mbar)	
1439557120.165	20150814_145840		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439557121.193	20150814_145841		CMWdoubleTimeout	CMWdoubleTimeout	292.4036	JAPCdblTimeout	
1439557122.214	20150814_145842		CMWdoubleTimeout	CMWdoubleTimeout	292.4036	JAPCdblTimeout	
