acqUNIXTime	acqDateTimestamp	TT900(°C)	VGI_2(mbar)	TT909(°C)	VGI_1(mbar)	
1439560174.804	20150814_154934		8.5556	5.899988E-9	292.4036	9.999992E-9	
1439560175.804	20150814_154935		8.5556	5.899988E-9	292.4036	9.999992E-9	
1439560176.803	20150814_154936		8.5556	5.899988E-9	292.4036	9.999992E-9	
1439560177.803	20150814_154937		8.5556	5.799988E-9	292.4036	9.999992E-9	
1439560178.803	20150814_154938		8.5556	5.999988E-9	292.4036	9.999992E-9	
1439560179.803	20150814_154939		8.5556	5.899988E-9	292.4036	9.999992E-9	
1439560180.803	20150814_154940		8.5556	5.799988E-9	292.4036	9.999992E-9	
1439560181.803	20150814_154941		8.5556	5.899988E-9	292.4036	9.999992E-9	
1439560182.803	20150814_154942		8.5556	5.899988E-9	292.4036	1.099999E-8	
1439560183.803	20150814_154943		8.5556	5.899988E-9	292.4036	9.999992E-9	
1439560184.803	20150814_154944		8.5556	5.899988E-9	292.4036	1.099999E-8	
1439560185.479	20150814_154945		8.5556	5.799988E-9	292.4036	1.099999E-8	
1439560190.054	20150814_154950		8.5556	5.999988E-9	0.0000	9.999992E-9	
1439560190.332	20150814_154950		8.5556	5.999988E-9	292.4036	9.999992E-9	
1439560190.416	20150814_154950		8.5556	5.799988E-9	292.4036	1.099999E-8	
1439560190.501	20150814_154950		8.5556	5.899988E-9	292.4036	9.999992E-9	
1439560191.587	20150814_154951		8.5556	5.799988E-9	292.4036	1.099999E-8	
1439560192.587	20150814_154952		8.5556	5.799988E-9	292.4036	9.999992E-9	
1439560193.587	20150814_154953		8.5556	5.799988E-9	292.4036	9.999992E-9	
1439560194.586	20150814_154954		8.5556	5.799988E-9	292.4036	9.999992E-9	
1439560195.586	20150814_154955		8.5556	5.799988E-9	292.4036	9.999992E-9	
1439560196.586	20150814_154956		8.5556	5.899988E-9	292.4036	9.999992E-9	
1439560197.586	20150814_154957		8.5556	5.699988E-9	292.4036	9.999992E-9	
1439560198.586	20150814_154958		8.5556	5.799988E-9	292.4036	9.999992E-9	
1439560199.711	20150814_154959		8.5556	5.899988E-9	292.4036	9.999992E-9	
1439560200.711	20150814_155000		8.5556	5.899988E-9	292.4036	1.099999E-8	
1439560205.016	20150814_155005		0.0000	5.999988E-9	0.0000	1.099999E-8	
1439560205.101	20150814_155005		8.5556	5.999988E-9	292.4036	1.099999E-8	
