acqUNIXTime	acqDateTimestamp	VAC.VGHB_41779(mbar)	VAC.VGI_1(mbar)	VAC.VGHB_41740(mbar)	VAC.VGI_2(mbar)	TT900(°C)	
1439797572.415	09:46:12 17/08/2015		9.499980E-9	5.099989E-9	5.099989E-9	5.099989E-9	8.5556	
1439797573.415	09:46:13 17/08/2015		7.500000E-10	9.499980E-9	-1.00000000	4.999990E-9	8.5556	
1439797574.415	09:46:14 17/08/2015		7.500000E-10	9.499980E-9	-1.00000000	4.999990E-9	8.5556	
1439797575.282	09:46:15 17/08/2015		4.899990E-9	7.500000E-10	9.499980E-9	-1.00000000	8.5556	
1439797576.148	09:46:16 17/08/2015		4.999990E-9	7.500000E-10	9.499980E-9	-1.00000000	8.5556	
1439797577.007	09:46:17 17/08/2015		4.899990E-9	7.500000E-10	9.499980E-9	-1.00000000	8.5556	
1439797577.874	09:46:17 17/08/2015		4.999990E-9	7.500000E-10	9.499980E-9	-1.00000000	8.5556	
1439797578.735	09:46:18 17/08/2015		4.999990E-9	7.500000E-10	9.499980E-9	-1.00000000	8.5556	
1439797579.597	09:46:19 17/08/2015		4.899990E-9	7.500000E-10	9.499980E-9	-1.00000000	8.5556	
