acqUNIXTime	acqDateTimestamp	VAC.VGHB_41779(°C)	VAC.VGI_1(°C)	VAC.VGHB_41740(mbar)	VAC.VGI_2(°C)	(mbar)	
1439643000.658	20150815_145000		9.200000E-10	5.399989E-9	9.200000E-10	9.999992E-9	8.5556	
1439643001.658	20150815_145001		5.399989E-9	9.999992E-9	9.200000E-10	5.399989E-9	8.5556	
1439643002.661	20150815_145002		9.200000E-10	5.399989E-9	9.200000E-10	9.999992E-9	8.5556	
1439643003.665	20150815_145003		5.399989E-9	1.000000E+4	5.399989E-9	9.200000E-10	8.5556	
1439643004.669	20150815_145004		9.200000E-10	9.100000E-10	5.499988E-9	1.000000E+4	8.5556	
1439643005.669	20150815_145005		5.499988E-9	9.999992E-9	5.499988E-9	5.399989E-9	8.5556	
1439643006.673	20150815_145006		9.100000E-10	9.100000E-10	5.499988E-9	9.999992E-9	8.5556	
1439643007.673	20150815_145007		5.499988E-9	9.999992E-9	5.499988E-9	5.499988E-9	8.5556	
1439643008.677	20150815_145008		9.100000E-10	9.100000E-10	5.499988E-9	9.999992E-9	8.5556	
1439643009.677	20150815_145009		5.499988E-9	9.999992E-9	5.499988E-9	5.499988E-9	8.5556	
1439643010.681	20150815_145010		9.100000E-10	5.499988E-9	9.100000E-10	9.999992E-9	8.5556	
1439643011.686	20150815_145011		5.499988E-9	1.000000E+4	5.499988E-9	5.499988E-9	8.5556	
1439643012.690	20150815_145012		9.100000E-10	9.100000E-10	5.499988E-9	1.000000E+4	8.5556	
1439643013.690	20150815_145013		5.499988E-9	9.999992E-9	5.499988E-9	5.499988E-9	8.5556	
1439643014.694	20150815_145014		9.100000E-10	5.499988E-9	9.100000E-10	9.999992E-9	8.5556	
1439643015.694	20150815_145015		5.399989E-9	9.999992E-9	9.100000E-10	5.499988E-9	8.5556	
1439643016.698	20150815_145016		9.100000E-10	9.100000E-10	5.499988E-9	9.999992E-9	8.5556	
1439643017.698	20150815_145017		5.499988E-9	9.999992E-9	5.499988E-9	9.100000E-10	8.5556	
1439643018.702	20150815_145018		9.100000E-10	8.900000E-10	5.499988E-9	9.999992E-9	8.5556	
1439643019.702	20150815_145019		5.499988E-9	9.999992E-9	5.499988E-9	5.499988E-9	8.5556	
1439643020.702	20150815_145020		8.900000E-10	9.999992E-9	5.499988E-9	8.900000E-10	8.5556	
1439643021.707	20150815_145021		5.399989E-9	1.000000E+4	9.999992E-9	5.499988E-9	8.5556	
1439643022.711	20150815_145022		8.900000E-10	8.900000E-10	5.399989E-9	1.000000E+4	8.5556	
1439643023.711	20150815_145023		5.399989E-9	9.999992E-9	5.399989E-9	9.999992E-9	8.5556	
1439643024.723	20150815_145024		8.900000E-10	8.900000E-10	5.399989E-9	9.999992E-9	8.5556	
1439643025.723	20150815_145025		5.399989E-9	9.999992E-9	5.399989E-9	5.399989E-9	8.5556	
1439643026.731	20150815_145026		8.900000E-10	8.900000E-10	5.399989E-9	9.999992E-9	8.5556	
1439643027.731	20150815_145027		5.399989E-9	9.999992E-9	5.399989E-9	5.399989E-9	8.5556	
1439643028.735	20150815_145028		8.900000E-10	8.900000E-10	5.399989E-9	9.999992E-9	8.5556	
1439643029.735	20150815_145029		5.399989E-9	9.999992E-9	5.399989E-9	5.399989E-9	8.5556	
1439643030.740	20150815_145030		5.399989E-9	8.900000E-10	9.999992E-9	5.399989E-9	8.5556	
1439643031.744	20150815_145031		8.900000E-10	8.900000E-10	5.399989E-9	9.999992E-9	8.5556	
1439643032.744	20150815_145032		5.399989E-9	9.999992E-9	5.399989E-9	9.999992E-9	8.5556	
1439643033.748	20150815_145033		8.900000E-10	8.100000E-10	5.399989E-9	5.399989E-9	8.5556	
1439643035.059	20150815_145035		5.399989E-9	9.999992E-9	5.399989E-9	9.999992E-9	8.5556	
1439643036.065	20150815_145036		8.100000E-10	5.399989E-9	8.100000E-10	9.999992E-9	8.5556	
1439643037.065	20150815_145037		5.399989E-9	9.999992E-9	8.100000E-10	5.399989E-9	8.5556	
1439643038.069	20150815_145038		8.100000E-10	8.100000E-10	5.499988E-9	9.999992E-9	8.5556	
1439643039.068	20150815_145039		5.399989E-9	8.100000E-10	5.499988E-9	8.100000E-10	8.5556	
1439643040.601	20150815_145040		8.100000E-10	8.100000E-10	5.399989E-9	8.100000E-10	8.5556	
1439643041.601	20150815_145041		5.399989E-9	9.999992E-9	5.399989E-9	5.499988E-9	8.5556	
1439643042.605	20150815_145042		8.100000E-10	8.100000E-10	5.399989E-9	9.999992E-9	8.5556	
1439643043.717	20150815_145043		5.399989E-9	1.000000E+4	8.100000E-10	5.399989E-9	8.5556	
1439643044.721	20150815_145044		8.100000E-10	8.100000E-10	5.399989E-9	1.000000E+4	8.5556	
1439643045.721	20150815_145045		5.199989E-9	9.999992E-9	5.399989E-9	8.100000E-10	8.5556	
1439643046.725	20150815_145046		8.100000E-10	8.100000E-10	5.199989E-9	9.999992E-9	8.5556	
1439643047.725	20150815_145047		9.999992E-9	5.199989E-9	5.199989E-9	5.399989E-9	8.5556	
1439643048.729	20150815_145048		8.100000E-10	5.199989E-9	8.100000E-10	9.999992E-9	8.5556	
1439643049.750	20150815_145049		5.199989E-9	1.000000E+4	5.199989E-9	5.199989E-9	8.5556	
1439643050.760	20150815_145050		7.900000E-10	7.900000E-10	5.199989E-9	1.000000E+4	8.5556	
1439643051.760	20150815_145051		5.199989E-9	9.999992E-9	5.199989E-9	5.199989E-9	8.5556	
1439643053.276	20150815_145053		7.900000E-10	7.900000E-10	5.199989E-9	9.999992E-9	8.5556	
1439643054.758	20150815_145054		5.199989E-9	9.999992E-9	5.199989E-9	5.199989E-9	8.5556	
1439643055.771	20150815_145055		9.999992E-9	5.199989E-9	7.900000E-10	5.199989E-9	8.5556	
1439643056.782	20150815_145056		5.199989E-9	7.900000E-10	5.199989E-9	7.900000E-10	8.5556	
1439643057.786	20150815_145057		7.900000E-10	5.199989E-9	7.900000E-10	7.900000E-10	8.5556	
1439643058.791	20150815_145058		5.199989E-9	7.900000E-10	5.199989E-9	5.199989E-9	8.5556	
1439643059.795	20150815_145059		7.900000E-10	5.199989E-9	7.900000E-10	7.900000E-10	8.5556	
1439643060.800	20150815_145100		5.199989E-9	1.000000E+4	5.199989E-9	5.199989E-9	8.5556	
1439643061.804	20150815_145101		7.900000E-10	7.900000E-10	5.199989E-9	1.000000E+4	8.5556	
1439643062.815	20150815_145102		5.199989E-9	5.199989E-9	7.900000E-10	5.199989E-9	8.5556	
1439643063.820	20150815_145103		7.900000E-10	7.900000E-10	5.199989E-9	5.199989E-9	8.5556	
1439643064.821	20150815_145104		5.199989E-9	9.999992E-9	5.199989E-9	7.900000E-10	8.5556	
1439643065.833	20150815_145105		7.900000E-10	8.100000E-10	5.199989E-9	9.999992E-9	8.5556	
1439643066.833	20150815_145106		5.199989E-9	9.999992E-9	5.199989E-9	5.199989E-9	8.5556	
1439643067.837	20150815_145107		7.900000E-10	9.100000E-10	5.199989E-9	9.999992E-9	8.5556	
1439643068.837	20150815_145108		5.199989E-9	9.999992E-9	5.199989E-9	5.199989E-9	8.5556	
1439643069.841	20150815_145109		9.100000E-10	9.100000E-10	5.399989E-9	9.999992E-9	8.5556	
1439643070.841	20150815_145110		5.399989E-9	9.100000E-10	5.399989E-9	5.199989E-9	8.5556	
1439643071.845	20150815_145111		9.100000E-10	9.100000E-10	5.399989E-9	9.100000E-10	8.5556	
1439643072.921	20150815_145112		5.399989E-9	9.999992E-9	5.399989E-9	5.399989E-9	8.5556	
1439643075.198	20150815_145115		5.399989E-9	9.100000E-10	5.399989E-9	9.999992E-9	8.5556	
1439643076.230	20150815_145116		5.399989E-9	9.100000E-10	9.999992E-9	5.399989E-9	8.5556	
1439643078.074	20150815_145118		9.100000E-10	5.399989E-9	9.100000E-10	9.100000E-10	8.5556	
1439643079.074	20150815_145119		5.399989E-9	5.399989E-9	9.100000E-10	9.999992E-9	8.5556	
1439643080.078	20150815_145120		9.100000E-10	9.100000E-10	5.399989E-9	5.399989E-9	8.5556	
1439643081.086	20150815_145121		5.399989E-9	9.100000E-10	5.399989E-9	9.100000E-10	8.5556	
1439643082.172	20150815_145122		9.100000E-10	5.399989E-9	9.100000E-10	9.100000E-10	8.5556	
1439643083.172	20150815_145123		5.399989E-9	5.399989E-9	9.100000E-10	5.399989E-9	8.5556	
1439643084.551	20150815_145124		9.100000E-10	5.399989E-9	9.100000E-10	5.399989E-9	8.5556	
1439643085.573	20150815_145125		5.399989E-9	1.000000E+4	5.399989E-9	9.100000E-10	8.5556	
1439643086.576	20150815_145126		9.100000E-10	5.399989E-9	9.700000E-10	1.000000E+4	8.5556	
1439643087.582	20150815_145127		5.399989E-9	5.399989E-9	9.999992E-9	9.700000E-10	8.5556	
1439643088.745	20150815_145128		9.700000E-10	5.399989E-9	9.700000E-10	9.999992E-9	8.5556	
1439643089.750	20150815_145129		5.399989E-9	1.000000E+4	5.399989E-9	5.399989E-9	8.5556	
1439643091.455	20150815_145131		9.700000E-10	5.399989E-9	9.700000E-10	1.000000E+4	8.5556	
1439643092.455	20150815_145132		5.399989E-9	9.999992E-9	9.700000E-10	5.399989E-9	8.5556	
1439643093.459	20150815_145133		9.700000E-10	9.700000E-10	5.399989E-9	9.999992E-9	8.5556	
1439643094.460	20150815_145134		5.399989E-9	9.999992E-9	5.399989E-9	9.700000E-10	8.5556	
1439643095.464	20150815_145135		9.700000E-10	9.700000E-10	5.399989E-9	9.999992E-9	8.5556	
1439643096.470	20150815_145136		5.399989E-9	9.999992E-9	5.399989E-9	5.399989E-9	8.5556	
1439643097.687	20150815_145137		9.999992E-9	5.399989E-9	5.299989E-9	9.700000E-10	8.5556	
1439643098.691	20150815_145138		5.299989E-9	9.700000E-10	1.000000E+4	5.399989E-9	8.5556	
1439643099.695	20150815_145139		9.700000E-10	5.299989E-9	9.700000E-10	1.000000E+4	8.5556	
1439643100.695	20150815_145140		5.299989E-9	9.999992E-9	9.700000E-10	9.700000E-10	8.5556	
1439643101.699	20150815_145141		9.700000E-10	9.700000E-10	5.299989E-9	9.999992E-9	8.5556	
1439643102.699	20150815_145142		5.299989E-9	9.999992E-9	5.299989E-9	9.700000E-10	8.5556	
1439643103.703	20150815_145143		9.700000E-10	9.100000E-10	5.299989E-9	9.999992E-9	8.5556	
1439643104.725	20150815_145144		1.000000E+4	5.299989E-9	9.100000E-10	5.299989E-9	8.5556	
1439643105.728	20150815_145145		9.700000E-10	9.700000E-10	5.299989E-9	9.999992E-9	8.5556	
1439643106.728	20150815_145146		5.299989E-9	9.999992E-9	5.299989E-9	9.100000E-10	8.5556	
1439643107.733	20150815_145147		9.800000E-10	9.800000E-10	5.299989E-9	9.999992E-9	8.5556	
1439643108.732	20150815_145148		5.299989E-9	9.999992E-9	5.299989E-9	5.299989E-9	8.5556	
1439643109.736	20150815_145149		9.800000E-10	5.299989E-9	9.800000E-10	9.999992E-9	8.5556	
1439643110.741	20150815_145150		5.299989E-9	1.000000E+4	5.299989E-9	5.299989E-9	8.5556	
1439643111.810	20150815_145151		9.800000E-10	9.800000E-10	5.299989E-9	1.000000E+4	8.5556	
1439643112.861	20150815_145152		5.299989E-9	9.800000E-10	5.299989E-9	5.299989E-9	8.5556	
1439643114.547	20150815_145154		9.800000E-10	9.800000E-10	5.299989E-9	9.800000E-10	8.5556	
1439643115.551	20150815_145155		5.299989E-9	5.299989E-9	9.999992E-9	5.299989E-9	8.5556	
1439643116.556	20150815_145156		5.299989E-9	9.800000E-10	9.999992E-9	9.999992E-9	8.5556	
1439643117.560	20150815_145157		9.800000E-10	5.299989E-9	9.800000E-10	9.800000E-10	8.5556	
