acqUNIXTime	acqDateTimestamp	VAC.VGHB_41779(°C)	VAC.VGI_1(°C)	VAC.VGHB_41740(mbar)	VAC.VGI_2(°C)	(mbar)	
1439642954.963	20150815_144914		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642955.813	20150815_144915		5.399989E-9	9.300000E-10	9.999992E-9	1.000000E+4	8.5556	
1439642956.675	20150815_144916		9.999992E-9	1.000000E+4	5.399989E-9	9.300000E-10	8.5556	
1439642957.675	20150815_144917		9.300000E-10	9.999992E-9	9.200000E-10	1.000000E+4	8.5556	
1439642958.551	20150815_144918		1.000000E+4	5.399989E-9	9.999992E-9	5.399989E-9	8.5556	
1439642959.404	20150815_144919		9.200000E-10	1.000000E+4	9.999992E-9	9.200000E-10	8.5556	
1439642960.254	20150815_144920		5.299989E-9	1.000000E+4	9.999992E-9	5.299989E-9	8.5556	
1439642961.111	20150815_144921		5.299989E-9	9.200000E-10	9.999992E-9	1.000000E+4	8.5556	
1439642962.111	20150815_144922		9.100000E-10	9.999992E-9	5.299989E-9	9.100000E-10	8.5556	
1439642963.323	20150815_144923		5.299989E-9	1.000000E+4	9.999992E-9	1.000000E+4	8.5556	
1439642964.254	20150815_144924		9.100000E-10	9.100000E-10	5.399989E-9	9.999992E-9	8.5556	
1439642965.254	20150815_144925		5.399989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439642966.085	20150815_144926		9.000000E-10	5.399989E-9	9.000000E-10	9.999992E-9	8.5556	
1439642967.085	20150815_144927		5.399989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439642967.960	20150815_144927		9.000000E-10	9.000000E-10	5.399989E-9	9.999992E-9	8.5556	
1439642968.960	20150815_144928		5.499988E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439642969.833	20150815_144929		9.000000E-10	5.499988E-9	9.100000E-10	9.999992E-9	8.5556	
1439642970.833	20150815_144930		5.499988E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439642971.693	20150815_144931		9.100000E-10	5.499988E-9	9.100000E-10	9.999992E-9	8.5556	
1439642972.552	20150815_144932		5.499988E-9	1.000000E+4	9.999992E-9	1.000000E+4	8.5556	
1439642973.552	20150815_144933		9.100000E-10	9.999992E-9	5.499988E-9	9.100000E-10	8.5556	
1439642974.424	20150815_144934		5.399989E-9	1.000000E+4	9.999992E-9	1.000000E+4	8.5556	
1439642975.297	20150815_144935		5.399989E-9	9.100000E-10	9.999992E-9	1.000000E+4	8.5556	
1439642976.154	20150815_144936		9.100000E-10	5.399989E-9	8.900000E-10	9.999992E-9	8.5556	
1439642977.154	20150815_144937		5.399989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439642978.037	20150815_144938		8.900000E-10	5.399989E-9	8.900000E-10	9.999992E-9	8.5556	
1439642978.897	20150815_144938		5.399989E-9	1.000000E+4	9.999992E-9	1.000000E+4	8.5556	
1439642979.771	20150815_144939		8.900000E-10	5.499988E-9	8.900000E-10	9.999992E-9	8.5556	
1439642980.771	20150815_144940		5.399989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439642981.658	20150815_144941		5.399989E-9	8.900000E-10	9.999992E-9	1.000000E+4	8.5556	
1439642982.516	20150815_144942		8.900000E-10	5.399989E-9	9.300000E-10	9.999992E-9	8.5556	
1439642983.516	20150815_144943		5.499988E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439642984.357	20150815_144944		9.300000E-10	5.499988E-9	9.300000E-10	9.999992E-9	8.5556	
1439642985.357	20150815_144945		5.499988E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439642986.597	20150815_144946		9.300000E-10	9.300000E-10	5.499988E-9	9.999992E-9	8.5556	
1439642987.597	20150815_144947		5.499988E-9	9.999992E-9	5.499988E-9	1.000000E+4	8.5556	
1439642988.602	20150815_144948		9.300000E-10	5.499988E-9	9.300000E-10	9.999992E-9	8.5556	
1439642989.602	20150815_144949		9.999992E-9	5.499988E-9	9.300000E-10	5.499988E-9	8.5556	
1439642990.615	20150815_144950		9.300000E-10	5.499988E-9	9.200000E-10	9.999992E-9	8.5556	
1439642991.620	20150815_144951		5.499988E-9	1.000000E+4	5.499988E-9	9.300000E-10	8.5556	
1439642992.623	20150815_144952		9.200000E-10	9.200000E-10	5.499988E-9	1.000000E+4	8.5556	
1439642993.623	20150815_144953		9.999992E-9	5.399989E-9	5.499988E-9	5.499988E-9	8.5556	
1439642994.627	20150815_144954		9.200000E-10	9.200000E-10	5.399989E-9	9.999992E-9	8.5556	
1439642995.627	20150815_144955		5.399989E-9	9.200000E-10	5.399989E-9	5.499988E-9	8.5556	
1439642996.640	20150815_144956		9.200000E-10	5.399989E-9	9.200000E-10	5.399989E-9	8.5556	
1439642997.650	20150815_144957		1.000000E+4	5.399989E-9	9.200000E-10	5.399989E-9	8.5556	
1439642998.654	20150815_144958		9.200000E-10	9.200000E-10	5.399989E-9	5.399989E-9	8.5556	
1439642999.654	20150815_144959		9.200000E-10	5.399989E-9	5.399989E-9	9.200000E-10	8.5556	
