acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	VGHB_41740(mbar)	VGI_2(°C)	VGHB_41779(°C)	VAC.VGI_3(°C)	VGI_1(°C)	VGHB_41752(°C)	
1439395357.487	20150812_180237		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395357.711	20150812_180237		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395357.911	20150812_180237		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395358.188	20150812_180238		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395358.510	20150812_180238		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439395358.788	20150812_180238		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439395358.988	20150812_180238		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439395359.212	20150812_180239		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439395359.513	20150812_180239		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.200000E-8	
1439395359.813	20150812_180239		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.200000E-8	
1439395360.088	20150812_180240		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.200000E-8	
1439395360.289	20150812_180240		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.200000E-8	
1439395360.513	20150812_180240		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395360.813	20150812_180240		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395361.111	20150812_180241		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395361.390	20150812_180241		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395361.589	20150812_180241		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395361.812	20150812_180241		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395361.990	20150812_180241		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395362.191	20150812_180242		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395362.415	20150812_180242		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395362.614	20150812_180242		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395362.815	20150812_180242		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395363.016	20150812_180243		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395363.294	20150812_180243		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
