acqUNIXTime	acqDateTimestamp	VGI_2(mbar)	VAC.VGI_3(mbar)	
1439563124.459	20150814_163844				
1439563125.460	20150814_163845		5.799988E-9	9.999992E-9	
1439563126.460	20150814_163846		5.799988E-9	9.999992E-9	
1439563127.460	20150814_163847		5.799988E-9	9.999992E-9	
