acqUNIXTime	acqDateTimestamp	VAC.VVSB_41731(mbar)	VAC.VGI_3(mbar)	VAC.VVSB_41737(mbar)	VAC.VGI_2(mbar)	TT900(°C)	TT909(°C)	
1439820622.201	16:10:22 17/08/2015		3.000000E+0	9.699980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820623.201	16:10:23 17/08/2015		3.000000E+0	9.499980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820624.201	16:10:24 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820625.201	16:10:25 17/08/2015		3.000000E+0	9.699980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820626.201	16:10:26 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820627.201	16:10:27 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820628.371	16:10:28 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820629.371	16:10:29 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820630.370	16:10:30 17/08/2015		3.000000E+0	9.599980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820631.370	16:10:31 17/08/2015		3.000000E+0	9.599980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820632.370	16:10:32 17/08/2015		3.000000E+0	9.399980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820633.370	16:10:33 17/08/2015		3.000000E+0	9.499980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820634.370	16:10:34 17/08/2015		3.000000E+0	9.599980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820635.370	16:10:35 17/08/2015		3.000000E+0	9.499980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820636.370	16:10:36 17/08/2015		3.000000E+0	9.699980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820637.370	16:10:37 17/08/2015		3.000000E+0	9.599980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820638.370	16:10:38 17/08/2015		3.000000E+0	9.399980E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	
1439820639.370	16:10:39 17/08/2015		3.000000E+0	9.399980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820640.370	16:10:40 17/08/2015		3.000000E+0	9.399980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820641.370	16:10:41 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820642.370	16:10:42 17/08/2015		3.000000E+0	9.499980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820643.370	16:10:43 17/08/2015		3.000000E+0	9.399980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820644.370	16:10:44 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820645.370	16:10:45 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820646.370	16:10:46 17/08/2015		3.000000E+0	9.699980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820647.370	16:10:47 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.199989E-9	8.5787	0.4051	
1439820648.369	16:10:48 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820649.369	16:10:49 17/08/2015		3.000000E+0	9.699980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820650.369	16:10:50 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820651.369	16:10:51 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820652.369	16:10:52 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820653.369	16:10:53 17/08/2015		3.000000E+0	9.599980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820654.369	16:10:54 17/08/2015		3.000000E+0	9.599980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820655.369	16:10:55 17/08/2015		3.000000E+0	9.099981E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820656.369	16:10:56 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820657.369	16:10:57 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820658.369	16:10:58 17/08/2015		3.000000E+0	9.499980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
