acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	VGHB_41740(mbar)	VGI_1(mbar)	VGHB_41752(mbar)	
1439565194.078	20150814_171314		9.999992E-9	1.300000E-8	1.099999E-8	1.300000E-8	
1439565195.081	20150814_171315		1.099999E-8	1.300000E-8	1.300000E-8	1.300000E-8	
1439565196.092	20150814_171316		9.999992E-9	1.300000E-8	1.099999E-8	1.300000E-8	
1439565197.105	20150814_171317		1.099999E-8	1.300000E-8	1.300000E-8	1.300000E-8	
1439565198.126	20150814_171318		1.300000E-8	9.999992E-9	1.300000E-8	1.300000E-8	
1439565199.136	20150814_171319		1.000000E+4	1.300000E-8	1.300000E-8	1.300000E-8	
1439565200.141	20150814_171320		1.300000E-8	1.300000E-8	1.300000E-8	1.300000E-8	
1439565201.156	20150814_171321		1.000000E+4	1.300000E-8	1.300000E-8	1.300000E-8	
1439565202.160	20150814_171322		1.300000E-8	1.300000E-8	1.300000E-8	1.300000E-8	
1439565203.160	20150814_171323		1.300000E-8	1.000000E+4	1.300000E-8	1.300000E-8	
1439565204.176	20150814_171324		1.099999E-8	1.300000E-8	1.000000E+4	1.300000E-8	
1439565205.216	20150814_171325		9.999992E-9	1.300000E-8	1.300000E-8	1.300000E-8	
1439565206.216	20150814_171326		1.099999E-8	1.000000E+4	9.999992E-9	1.300000E-8	
1439565207.220	20150814_171327		9.999992E-9	1.300000E-8	1.000000E+4	1.300000E-8	
1439565208.401	20150814_171328		1.099999E-8	1.300000E-8	1.300000E-8	1.300000E-8	
1439565209.401	20150814_171329		1.300000E-8	9.999992E-9	1.300000E-8	1.300000E-8	
1439565210.418	20150814_171330		1.000000E+4	1.099999E-8	1.300000E-8	1.300000E-8	
1439565211.424	20150814_171331		1.300000E-8	1.099999E-8	1.300000E-8	1.099999E-8	
1439565212.428	20150814_171332		1.000000E+4	9.999992E-9	1.300000E-8	1.099999E-8	
1439565213.440	20150814_171333		1.000000E+4	1.099999E-8	1.099999E-8	1.000000E+4	
1439565214.440	20150814_171334		1.300000E-8	9.999992E-9	1.099999E-8	1.000000E+4	
1439565215.451	20150814_171335		1.000000E+4	1.099999E-8	1.300000E-8	1.000000E+4	
1439565216.458	20150814_171336		1.300000E-8	1.000000E+4	1.099999E-8	1.300000E-8	
1439565217.462	20150814_171337		1.000000E+4	9.999992E-9	1.300000E-8	1.300000E-8	
1439565218.467	20150814_171338		1.300000E-8	1.099999E-8	1.300000E-8	9.999992E-9	
1439565219.469	20150814_171339		1.000000E+4	1.300000E-8	1.300000E-8	9.999992E-9	
1439565220.473	20150814_171340		1.300000E-8	1.300000E-8	9.999992E-9	1.300000E-8	
1439565221.485	20150814_171341		1.000000E+4	1.100000E-8	1.300000E-8	9.999992E-9	
1439565222.485	20150814_171342		1.300000E-8	9.999992E-9	1.100000E-8	9.999992E-9	
1439565223.490	20150814_171343		1.099999E-8	1.000000E+4	9.999992E-9	1.300000E-8	
1439565224.493	20150814_171344		1.300000E-8	1.000000E+4	1.300000E-8	9.999992E-9	
