acqUNIXTime	acqDateTimestamp	VAC.VGHB_41779(°C)	VAC.VGI_1(°C)	VAC.VGHB_41740(mbar)	VAC.VGI_2(°C)	(mbar)	
1439644217.611	20150815_151017		9.800000E-10	5.299989E-9	1.000000E+4	5.299989E-9	8.5556	
1439644218.452	20150815_151018		8.900000E-10	8.800000E-10	9.999992E-9	1.000000E+4	8.5556	
1439644219.452	20150815_151019		9.999992E-9	5.199989E-9	1.000000E+4	5.399989E-9	8.5556	
1439644220.452	20150815_151020		5.199989E-9	9.100000E-10	1.000000E+4	9.999992E-9	8.5556	
1439644221.334	20150815_151021		9.100000E-10	8.800000E-10	5.399989E-9	9.999992E-9	8.5556	
1439644222.334	20150815_151022		5.399989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439644223.185	20150815_151023		8.800000E-10	8.800000E-10	5.399989E-9	9.999992E-9	8.5556	
1439644224.185	20150815_151024		5.299989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439644225.045	20150815_151025		8.900000E-10	8.900000E-10	5.299989E-9	9.999992E-9	8.5556	
1439644226.045	20150815_151026		5.299989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439644226.903	20150815_151026		8.900000E-10	8.800000E-10	5.299989E-9	9.999992E-9	8.5556	
1439644227.902	20150815_151027		5.399989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439644228.779	20150815_151028		8.800000E-10	8.800000E-10	5.399989E-9	9.999992E-9	8.5556	
1439644229.779	20150815_151029		5.399989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439644230.639	20150815_151030		8.800000E-10	9.000000E-10	5.399989E-9	9.999992E-9	8.5556	
1439644231.639	20150815_151031		5.399989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439644232.518	20150815_151032		9.000000E-10	9.000000E-10	5.399989E-9	9.999992E-9	8.5556	
1439644233.518	20150815_151033		5.399989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439644234.395	20150815_151034		9.000000E-10	9.000000E-10	5.499988E-9	9.999992E-9	8.5556	
1439644235.395	20150815_151035		5.499988E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439644236.208	20150815_151036		8.800000E-10	8.800000E-10	5.499988E-9	9.999992E-9	8.5556	
1439644237.208	20150815_151037		5.499988E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439644238.053	20150815_151038		8.800000E-10	8.800000E-10	5.499988E-9	9.999992E-9	8.5556	
1439644239.053	20150815_151039		5.499988E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439644239.933	20150815_151039		8.800000E-10	8.800000E-10	5.499988E-9	9.999992E-9	8.5556	
1439644240.933	20150815_151040		5.499988E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439644241.801	20150815_151041		8.900000E-10	8.900000E-10	5.499988E-9	9.999992E-9	8.5556	
1439644242.801	20150815_151042		5.399989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439644243.650	20150815_151043		8.900000E-10	8.900000E-10	5.399989E-9	9.999992E-9	8.5556	
1439644244.649	20150815_151044		5.399989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439644245.532	20150815_151045		8.900000E-10	8.900000E-10	5.399989E-9	9.999992E-9	8.5556	
1439644246.568	20150815_151046		5.399989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439644247.398	20150815_151047		8.800000E-10	8.900000E-10	5.399989E-9	5.399989E-9	8.5556	
1439644248.275	20150815_151048		9.999992E-9	1.000000E+4	9.999992E-9	1.000000E+4	8.5556	
1439644249.143	20150815_151049		8.800000E-10	8.800000E-10	5.399989E-9	9.999992E-9	8.5556	
1439644250.143	20150815_151050		5.399989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439644251.032	20150815_151051		8.800000E-10	8.800000E-10	5.499988E-9	9.999992E-9	8.5556	
1439644252.032	20150815_151052		5.399989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439644253.352	20150815_151053		8.800000E-10	8.800000E-10	5.299989E-9	9.999992E-9	8.5556	
1439644254.352	20150815_151054		5.299989E-9	8.800000E-10	5.299989E-9	1.000000E+4	8.5556	
1439644255.356	20150815_151055		8.800000E-10	8.800000E-10	5.299989E-9	8.800000E-10	8.5556	
1439644256.356	20150815_151056		5.299989E-9	8.800000E-10	5.299989E-9	5.299989E-9	8.5556	
1439644257.360	20150815_151057		8.700000E-10	8.700000E-10	5.299989E-9	8.800000E-10	8.5556	
1439644258.360	20150815_151058		5.299989E-9	9.999992E-9	5.299989E-9	5.299989E-9	8.5556	
1439644259.364	20150815_151059		8.700000E-10	8.700000E-10	5.299989E-9	9.999992E-9	8.5556	
1439644260.364	20150815_151100		9.999992E-9	5.299989E-9	5.299989E-9	5.299989E-9	8.5556	
1439644261.370	20150815_151101		8.700000E-10	8.700000E-10	5.299989E-9	9.999992E-9	8.5556	
1439644262.369	20150815_151102		5.299989E-9	9.999992E-9	5.299989E-9	5.299989E-9	8.5556	
1439644263.378	20150815_151103		8.700000E-10	8.700000E-10	5.399989E-9	9.999992E-9	8.5556	
1439644264.382	20150815_151104		5.299989E-9	9.999992E-9	5.399989E-9	5.299989E-9	8.5556	
1439644265.386	20150815_151105		8.700000E-10	8.600000E-10	5.399989E-9	9.999992E-9	8.5556	
1439644266.386	20150815_151106		5.399989E-9	9.999992E-9	5.399989E-9	5.399989E-9	8.5556	
1439644267.400	20150815_151107		8.600000E-10	8.600000E-10	5.399989E-9	9.999992E-9	8.5556	
1439644268.400	20150815_151108		5.399989E-9	9.999992E-9	5.399989E-9	5.399989E-9	8.5556	
1439644269.404	20150815_151109		8.600000E-10	8.600000E-10	5.399989E-9	9.999992E-9	8.5556	
