acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	VGHB_41740(mbar)	TT900(°C)	VGI_2(mbar)	VGHB_41779(mbar)	VAC.VGI_3(mbar)	TT909(°C)	VGI_1(mbar)	VGHB_41752(mbar)	
1439565956.464	20150814_172556		9.999992E-9	1.300000E-8	8.5556				292.4036	1.300000E-8	1.300000E-8	
1439565957.673	20150814_172557		1.300000E-8	1.000000E+4	8.5556	5.799988E-9	9.400000E-10	8.999981E-9	292.4036	9.999992E-9	1.100000E-8	
