acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	VGHB_41740(mbar)	VGI_2(°C)	VGHB_41779(°C)	VAC.VGI_3(°C)	VGI_1(°C)	VGHB_41752(°C)	
1439391278.603	20150812_165438		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391278.804	20150812_165438		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391279.003	20150812_165439		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391279.204	20150812_165439		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391279.404	20150812_165439		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391279.630	20150812_165439		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391279.828	20150812_165439		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391280.027	20150812_165440		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391280.229	20150812_165440		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391280.427	20150812_165440		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391280.629	20150812_165440		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391280.902	20150812_165440		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391281.108	20150812_165441		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391281.308	20150812_165441		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391281.508	20150812_165441		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391281.708	20150812_165441		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391281.910	20150812_165441		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391282.130	20150812_165442		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391282.335	20150812_165442		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391282.608	20150812_165442		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391282.809	20150812_165442		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391283.008	20150812_165443		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391283.208	20150812_165443		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391283.408	20150812_165443		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391283.633	20150812_165443		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391283.834	20150812_165443		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391284.034	20150812_165444		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391284.233	20150812_165444		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391284.432	20150812_165444		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391284.633	20150812_165444		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391284.911	20150812_165444		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391285.111	20150812_165445		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391285.312	20150812_165445		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391285.510	20150812_165445		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391285.711	20150812_165445		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391285.934	20150812_165445		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391286.211	20150812_165446		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391286.412	20150812_165446		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391286.611	20150812_165446		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391286.813	20150812_165446		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391287.013	20150812_165447		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391287.235	20150812_165447		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391287.513	20150812_165447		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391287.713	20150812_165447		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391287.913	20150812_165447		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391288.113	20150812_165448		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391288.313	20150812_165448		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391288.614	20150812_165448		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391288.814	20150812_165448		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391289.014	20150812_165449		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439391289.214	20150812_165449		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391289.414	20150812_165449		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391289.638	20150812_165449		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391289.914	20150812_165449		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391290.113	20150812_165450		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391290.314	20150812_165450		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391290.514	20150812_165450		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391290.714	20150812_165450		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391290.939	20150812_165450		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391291.215	20150812_165451		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391291.415	20150812_165451		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391291.615	20150812_165451		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391291.815	20150812_165451		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391292.015	20150812_165452		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391292.239	20150812_165452		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391292.517	20150812_165452		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391292.716	20150812_165452		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391292.917	20150812_165452		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391293.129	20150812_165453		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391293.316	20150812_165453		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391293.542	20150812_165453		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391293.819	20150812_165453		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391294.017	20150812_165454		1.300000E-8	1.000000E+4	6.099987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391294.217	20150812_165454		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391294.416	20150812_165454		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391294.616	20150812_165454		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391294.842	20150812_165454		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391295.117	20150812_165455		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391295.317	20150812_165455		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391295.518	20150812_165455		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391295.718	20150812_165455		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391295.919	20150812_165455		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391296.142	20150812_165456		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391296.342	20150812_165456		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391296.542	20150812_165456		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391296.818	20150812_165456		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391297.019	20150812_165457		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391297.219	20150812_165457		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391297.420	20150812_165457		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391297.619	20150812_165457		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391297.843	20150812_165457		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391298.044	20150812_165458		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439391298.320	20150812_165458		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391298.643	20150812_165458		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439391298.842	20150812_165458		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
