acqUNIXTime	acqDateTimestamp	VAC.VGHB_41779(mbar)	VAC.VGI_1(mbar)	VAC.VGHB_41740(mbar)	VAC.VGI_2(mbar)	TT900(°C)	
1439798149.821	09:55:49 17/08/2015		4.899990E-9	9.399980E-9	7.500000E-10	-1.00000000	8.5556	
1439798150.821	09:55:50 17/08/2015		7.500000E-10	9.399980E-9	9.499980E-9	-1.00000000	8.5556	
1439798151.693	09:55:51 17/08/2015		-1.00000000	4.899990E-9	7.500000E-10	4.899990E-9	8.5556	
1439798152.555	09:55:52 17/08/2015		4.999990E-9	7.500000E-10	9.499980E-9	-1.00000000	8.5556	
1439798153.413	09:55:53 17/08/2015		7.600000E-10	7.600000E-10	4.999990E-9	9.499980E-9	8.5556	
1439798154.275	09:55:54 17/08/2015		4.999990E-9	9.399980E-9	9.399980E-9	-1.00000000	8.5556	
1439798155.136	09:55:55 17/08/2015		7.600000E-10	7.500000E-10	4.999990E-9	-1.00000000	8.5556	
1439798156.136	09:55:56 17/08/2015		9.399980E-9	4.999990E-9	-1.00000000	-1.00000000	8.5556	
1439798157.013	09:55:57 17/08/2015		7.500000E-10	7.500000E-10	9.499980E-9	4.999990E-9	8.5556	
1439798157.874	09:55:57 17/08/2015		4.999990E-9	9.399980E-9	9.499980E-9	-1.00000000	8.5556	
1439798158.739	09:55:58 17/08/2015		-1.00000000	7.500000E-10	4.999990E-9	-1.00000000	8.5556	
1439798159.604	09:55:59 17/08/2015		7.500000E-10	7.500000E-10	9.499980E-9	4.899990E-9	8.5556	
1439798160.466	09:56:00 17/08/2015		4.899990E-9	9.499980E-9	9.499980E-9	-1.00000000	8.5556	
1439798161.325	09:56:01 17/08/2015		7.500000E-10	7.500000E-10	4.899990E-9	-1.00000000	8.5556	
1439798162.325	09:56:02 17/08/2015		9.499980E-9	4.899990E-9	-1.00000000	-1.00000000	8.5556	
1439798163.202	09:56:03 17/08/2015		9.499980E-9	7.500000E-10	4.899990E-9	-1.00000000	8.5556	
1439798164.070	09:56:04 17/08/2015		9.499980E-9	4.899990E-9	7.500000E-10	-1.00000000	8.5556	
1439798164.931	09:56:04 17/08/2015		9.599980E-9	4.899990E-9	7.500000E-10	-1.00000000	8.5556	
1439798165.792	09:56:05 17/08/2015		9.599980E-9	4.899990E-9	7.500000E-10	-1.00000000	8.5556	
1439798166.651	09:56:06 17/08/2015		9.599980E-9	4.899990E-9	7.500000E-10	-1.00000000	8.5556	
1439798167.517	09:56:07 17/08/2015		9.599980E-9	7.500000E-10	4.999990E-9	-1.00000000	8.5556	
1439798168.375	09:56:08 17/08/2015		9.599980E-9	4.999990E-9	7.500000E-10	-1.00000000	8.5556	
1439798169.242	09:56:09 17/08/2015		9.599980E-9	4.999990E-9	7.500000E-10	-1.00000000	8.5556	
1439798170.101	09:56:10 17/08/2015		9.599980E-9	4.999990E-9	7.500000E-10	-1.00000000	8.5556	
1439798170.961	09:56:10 17/08/2015		9.599980E-9	4.999990E-9	7.500000E-10	-1.00000000	8.5556	
1439798171.830	09:56:11 17/08/2015		9.399980E-9	4.999990E-9	7.500000E-10	-1.00000000	8.5556	
