acqUNIXTime	acqDateTimestamp	VAC.VGI_3(mbar)	VAC.VGHB_41740(mbar)	VAC.VGI_2(mbar)	TT900(°C)	TT909(°C)	
1439817762.126	15:22:42 17/08/2015		9.699980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817763.125	15:22:43 17/08/2015		9.699980E-9	-1.00000000	5.099989E-9	8.5787	0.3472	
1439817764.039	15:22:44 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817765.039	15:22:45 17/08/2015		9.799979E-9	-1.00000000	5.099989E-9	8.5787	0.3472	
1439817766.039	15:22:46 17/08/2015		9.699980E-9	-1.00000000	5.099989E-9	8.5787	0.3472	
1439817766.939	15:22:46 17/08/2015		9.499980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817767.885	15:22:47 17/08/2015		9.299980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817768.940	15:22:48 17/08/2015		9.199981E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817769.849	15:22:49 17/08/2015		8.499982E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817770.788	15:22:50 17/08/2015		8.999981E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817771.738	15:22:51 17/08/2015		9.799979E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817772.687	15:22:52 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817773.636	15:22:53 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817774.636	15:22:54 17/08/2015		9.699980E-9	-1.00000000	5.199989E-9	8.5787	0.3472	
1439817775.625	15:22:55 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817776.626	15:22:56 17/08/2015		9.799979E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817777.626	15:22:57 17/08/2015		9.799979E-9	5.199989E-9	5.199989E-9	8.5787	0.3472	
1439817778.626	15:22:58 17/08/2015		9.799979E-9	-1.00000000	-1.00000000	8.5787	0.3472	
1439817779.598	15:22:59 17/08/2015		9.799979E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817780.539	15:23:00 17/08/2015		9.699980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817781.476	15:23:01 17/08/2015		9.799979E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817782.476	15:23:02 17/08/2015		9.199981E-9	-1.00000000	5.199989E-9	8.5787	0.3472	
1439817783.376	15:23:03 17/08/2015		9.799979E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817784.376	15:23:04 17/08/2015		9.999992E-9	-1.00000000	5.099989E-9	8.5787	0.3472	
1439817785.335	15:23:05 17/08/2015		9.899980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817786.335	15:23:06 17/08/2015		9.799979E-9	-1.00000000	5.099989E-9	8.5787	0.3472	
1439817787.307	15:23:07 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817788.249	15:23:08 17/08/2015		9.899980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817789.191	15:23:09 17/08/2015		9.699980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817790.191	15:23:10 17/08/2015		9.799979E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817791.158	15:23:11 17/08/2015		9.799979E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817792.158	15:23:12 17/08/2015		9.999992E-9	-1.00000000	5.099989E-9	8.5787	0.3472	
1439817793.158	15:23:13 17/08/2015		9.999992E-9	-1.00000000	5.099989E-9	8.5787	0.3472	
1439817794.076	15:23:14 17/08/2015		9.899980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817795.021	15:23:15 17/08/2015		9.499980E-9	5.099989E-9	5.099989E-9	8.5787	0.3472	
1439817796.021	15:23:16 17/08/2015		9.999992E-9	-1.00000000	-1.00000000	8.5787	0.3472	
1439817796.986	15:23:16 17/08/2015		9.699980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817797.939	15:23:17 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817798.939	15:23:18 17/08/2015		9.899980E-9	-1.00000000	5.199989E-9	8.5787	0.3472	
1439817799.939	15:23:19 17/08/2015		9.699980E-9	-1.00000000	5.199989E-9	8.5787	0.3472	
1439817800.835	15:23:20 17/08/2015		9.799979E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817801.782	15:23:21 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817802.782	15:23:22 17/08/2015		9.799979E-9	-1.00000000	5.199989E-9	8.5787	0.3472	
1439817803.744	15:23:23 17/08/2015		9.699980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817804.685	15:23:24 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817805.637	15:23:25 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817806.633	15:23:26 17/08/2015		9.599980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817807.633	15:23:27 17/08/2015		9.799979E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817808.633	15:23:28 17/08/2015		9.799979E-9	-1.00000000	5.199989E-9	8.5787	0.3472	
1439817809.633	15:23:29 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817810.633	15:23:30 17/08/2015		9.899980E-9	-1.00000000	5.199989E-9	8.5787	0.3472	
1439817811.542	15:23:31 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817812.500	15:23:32 17/08/2015		9.699980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817813.449	15:23:33 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817814.393	15:23:34 17/08/2015		9.799979E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817815.335	15:23:35 17/08/2015		9.599980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817816.335	15:23:36 17/08/2015		9.699980E-9	-1.00000000	5.099989E-9	8.5787	0.3472	
1439817817.307	15:23:37 17/08/2015		9.799979E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817818.255	15:23:38 17/08/2015		9.399980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817819.200	15:23:39 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817820.143	15:23:40 17/08/2015		9.699980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817821.082	15:23:41 17/08/2015		9.899980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817822.029	15:23:42 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817823.029	15:23:43 17/08/2015		9.699980E-9	-1.00000000	5.099989E-9	8.5787	0.3472	
1439817824.029	15:23:44 17/08/2015		9.799979E-9	-1.00000000	5.099989E-9	8.5787	0.3472	
1439817824.930	15:23:44 17/08/2015		9.799979E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817825.872	15:23:45 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817826.822	15:23:46 17/08/2015		9.799979E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817827.770	15:23:47 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817828.701	15:23:48 17/08/2015		9.899980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817829.643	15:23:49 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817830.656	15:23:50 17/08/2015		9.699980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817831.656	15:23:51 17/08/2015		9.899980E-9	5.099989E-9	5.199989E-9	8.5787	0.3472	
1439817832.656	15:23:52 17/08/2015		9.999992E-9	5.099989E-9	5.199989E-9	8.5787	0.3472	
1439817833.630	15:23:53 17/08/2015		9.799979E-9	5.199989E-9	5.099989E-9	8.5787	0.3472	
1439817834.630	15:23:54 17/08/2015		9.999992E-9	-1.00000000	5.199989E-9	8.5787	0.3472	
1439817835.630	15:23:55 17/08/2015		9.999992E-9	-1.00000000	5.199989E-9	8.5787	0.3472	
1439817836.630	15:23:56 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817837.630	15:23:57 17/08/2015		9.999992E-9	-1.00000000	5.199989E-9	8.5787	0.3472	
1439817838.630	15:23:58 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817839.630	15:23:59 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817840.630	15:24:00 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817841.626	15:24:01 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817842.626	15:24:02 17/08/2015		9.599980E-9	-1.00000000	5.199989E-9	8.5787	0.3472	
1439817843.572	15:24:03 17/08/2015		9.599980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817844.515	15:24:04 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817846.055	15:24:06 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817847.023	15:24:07 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817848.023	15:24:08 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817849.023	15:24:09 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817850.023	15:24:10 17/08/2015		9.999992E-9	-1.00000000	5.099989E-9	8.5787	0.3472	
1439817851.022	15:24:11 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817852.022	15:24:12 17/08/2015		9.999992E-9	5.099989E-9	5.099989E-9	8.5787	0.3472	
1439817853.022	15:24:13 17/08/2015		9.999992E-9	-1.00000000	-1.00000000	8.5787	0.3472	
1439817853.951	15:24:13 17/08/2015		9.499980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817854.891	15:24:14 17/08/2015		9.899980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817855.891	15:24:15 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817856.891	15:24:16 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817857.901	15:24:17 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817858.901	15:24:18 17/08/2015		9.999992E-9	5.099989E-9	5.099989E-9	8.5787	0.3472	
1439817859.901	15:24:19 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817860.834	15:24:20 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817861.778	15:24:21 17/08/2015		9.699980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817862.722	15:24:22 17/08/2015		9.899980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817863.722	15:24:23 17/08/2015		9.999992E-9	5.099989E-9	5.099989E-9	8.5787	0.3472	
1439817864.722	15:24:24 17/08/2015		9.999992E-9	-1.00000000	-1.00000000	8.5787	0.3472	
1439817865.729	15:24:25 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817866.729	15:24:26 17/08/2015		9.799979E-9	5.099989E-9	5.099989E-9	8.5787	0.3472	
1439817867.674	15:24:27 17/08/2015		9.799979E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817868.673	15:24:28 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817869.690	15:24:29 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817870.690	15:24:30 17/08/2015		9.999992E-9	5.199989E-9	5.199989E-9	8.5787	0.3472	
1439817871.690	15:24:31 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817872.699	15:24:32 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817873.713	15:24:33 17/08/2015		9.999992E-9	5.199989E-9	5.199989E-9	8.5787	0.3472	
1439817874.671	15:24:34 17/08/2015		9.999992E-9	5.199989E-9	5.199989E-9	8.5787	0.3472	
1439817875.671	15:24:35 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817876.632	15:24:36 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817877.647	15:24:37 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817878.647	15:24:38 17/08/2015		9.899980E-9	5.199989E-9	5.199989E-9	8.5787	0.3472	
1439817879.649	15:24:39 17/08/2015		9.699980E-9	5.199989E-9	5.199989E-9	8.5787	0.3472	
1439817880.649	15:24:40 17/08/2015		9.999992E-9	5.199989E-9	5.199989E-9	8.5787	0.3472	
1439817881.629	15:24:41 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817882.629	15:24:42 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817883.623	15:24:43 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817884.624	15:24:44 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817885.624	15:24:45 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817886.545	15:24:46 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817887.492	15:24:47 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817888.506	15:24:48 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817889.523	15:24:49 17/08/2015		9.999992E-9	5.099989E-9	5.099989E-9	8.5787	0.3472	
1439817890.539	15:24:50 17/08/2015		9.799979E-9	5.099989E-9	5.099989E-9	8.5787	0.3472	
