acqUNIXTime	acqDateTimestamp	VAC.VGI_3(mbar)	VAC.VGHB_41740(mbar)	VAC.VGI_2(mbar)	TT900(°C)	
1439802299.584	11:04:59 17/08/2015		9.899980E-9	4.999990E-9	-1.00000000	8.5556	
1439802300.584	11:05:00 17/08/2015		9.799979E-9	-1.00000000	4.999990E-9	8.5556	
1439802301.474	11:05:01 17/08/2015		9.699980E-9	4.999990E-9	-1.00000000	8.5556	
1439802302.342	11:05:02 17/08/2015		9.799979E-9	4.899990E-9	-1.00000000	8.5556	
1439802303.331	11:05:03 17/08/2015		9.699980E-9	4.899990E-9	-1.00000000	8.5556	
1439802304.324	11:05:04 17/08/2015		9.899980E-9	4.899990E-9	-1.00000000	8.5556	
1439802305.321	11:05:05 17/08/2015		9.799979E-9	4.899990E-9	-1.00000000	8.5556	
1439802306.328	11:05:06 17/08/2015		9.899980E-9	4.899990E-9	-1.00000000	8.5556	
1439802307.338	11:05:07 17/08/2015		9.699980E-9	4.899990E-9	4.899990E-9	8.5556	
1439802308.322	11:05:08 17/08/2015		9.599980E-9	4.899990E-9	4.899990E-9	8.5556	
1439802309.323	11:05:09 17/08/2015		9.999992E-9	4.899990E-9	-1.00000000	8.5556	
1439802310.145	11:05:10 17/08/2015		9.999992E-9	4.899990E-9	-1.00000000	8.5556	
1439802311.146	11:05:11 17/08/2015		9.799979E-9	4.899990E-9	-1.00000000	8.5556	
1439802311.960	11:05:11 17/08/2015		9.799979E-9	4.899990E-9	-1.00000000	8.5556	
1439802312.821	11:05:12 17/08/2015		9.999992E-9	4.899990E-9	-1.00000000	8.5556	
1439802313.682	11:05:13 17/08/2015		9.799979E-9	4.899990E-9	-1.00000000	8.5556	
1439802314.550	11:05:14 17/08/2015		9.699980E-9	4.899990E-9	-1.00000000	8.5556	
1439802315.550	11:05:15 17/08/2015		9.899980E-9	4.899990E-9	-1.00000000	8.5556	
1439802316.550	11:05:16 17/08/2015		9.899980E-9	4.899990E-9	-1.00000000	8.5556	
1439802317.550	11:05:17 17/08/2015		9.899980E-9	4.899990E-9	-1.00000000	8.5556	
1439802318.550	11:05:18 17/08/2015		9.899980E-9	-1.00000000	4.899990E-9	8.5556	
1439802319.430	11:05:19 17/08/2015		9.999992E-9	4.899990E-9	-1.00000000	8.5556	
1439802320.315	11:05:20 17/08/2015		9.599980E-9	4.899990E-9	-1.00000000	8.5556	
1439802321.316	11:05:21 17/08/2015		9.699980E-9	4.899990E-9	-1.00000000	8.5556	
1439802322.190	11:05:22 17/08/2015		9.699980E-9	4.899990E-9	-1.00000000	8.5556	
1439802323.057	11:05:23 17/08/2015		9.899980E-9	4.899990E-9	-1.00000000	8.5556	
1439802323.939	11:05:23 17/08/2015		9.799979E-9	4.999990E-9	-1.00000000	8.5556	
1439802324.808	11:05:24 17/08/2015		9.899980E-9	4.899990E-9	-1.00000000	8.5556	
