acqUNIXTime	acqDateTimestamp	VAC.VGI_3(mbar)	VAC.VGHB_41740(mbar)	VAC.VGI_2(mbar)	TT900(°C)	
1439802195.067	11:03:15 17/08/2015		9.599980E-9	0.000000E+0	0.000000E+0	8.5556	
1439802196.067	11:03:16 17/08/2015		9.999992E-9	-1.00000000	4.999990E-9	8.5556	
1439802197.067	11:03:17 17/08/2015		9.699980E-9	-1.00000000	4.999990E-9	8.5556	
1439802197.932	11:03:17 17/08/2015		9.999992E-9	4.899990E-9	-1.00000000	8.5556	
1439802198.799	11:03:18 17/08/2015		9.599980E-9	4.999990E-9	-1.00000000	8.5556	
1439802199.660	11:03:19 17/08/2015		9.999992E-9	4.899990E-9	-1.00000000	8.5556	
1439802200.518	11:03:20 17/08/2015		9.799979E-9	4.999990E-9	-1.00000000	8.5556	
1439802201.390	11:03:21 17/08/2015		9.899980E-9	4.999990E-9	-1.00000000	8.5556	
1439802202.341	11:03:22 17/08/2015		9.999992E-9	4.999990E-9	-1.00000000	8.5556	
1439802203.341	11:03:23 17/08/2015		9.799979E-9	4.899990E-9	-1.00000000	8.5556	
1439802204.327	11:03:24 17/08/2015		9.799979E-9	4.899990E-9	-1.00000000	8.5556	
1439802205.322	11:03:25 17/08/2015		9.899980E-9	4.899990E-9	-1.00000000	8.5556	
1439802206.323	11:03:26 17/08/2015		9.999992E-9	4.899990E-9	-1.00000000	8.5556	
1439802207.138	11:03:27 17/08/2015		9.999992E-9	4.899990E-9	-1.00000000	8.5556	
1439802208.138	11:03:28 17/08/2015		9.799979E-9	4.999990E-9	-1.00000000	8.5556	
1439802209.026	11:03:29 17/08/2015		9.799979E-9	4.999990E-9	-1.00000000	8.5556	
1439802209.895	11:03:29 17/08/2015		9.999992E-9	4.999990E-9	-1.00000000	8.5556	
1439802210.759	11:03:30 17/08/2015		9.899980E-9	4.999990E-9	-1.00000000	8.5556	
1439802211.630	11:03:31 17/08/2015		9.699980E-9	4.999990E-9	-1.00000000	8.5556	
1439802212.631	11:03:32 17/08/2015		9.899980E-9	4.999990E-9	-1.00000000	8.5556	
1439802213.451	11:03:33 17/08/2015		9.899980E-9	4.999990E-9	-1.00000000	8.5556	
1439802214.327	11:03:34 17/08/2015		9.699980E-9	4.999990E-9	-1.00000000	8.5556	
1439802215.328	11:03:35 17/08/2015		9.999992E-9	4.899990E-9	-1.00000000	8.5556	
1439802216.212	11:03:36 17/08/2015		9.999992E-9	4.899990E-9	-1.00000000	8.5556	
1439802217.073	11:03:37 17/08/2015		9.799979E-9	4.899990E-9	-1.00000000	8.5556	
1439802217.946	11:03:37 17/08/2015		9.999992E-9	4.899990E-9	-1.00000000	8.5556	
1439802218.808	11:03:38 17/08/2015		9.699980E-9	4.899990E-9	-1.00000000	8.5556	
1439802219.809	11:03:39 17/08/2015		9.899980E-9	4.899990E-9	-1.00000000	8.5556	
1439802220.701	11:03:40 17/08/2015		9.899980E-9	4.899990E-9	-1.00000000	8.5556	
1439802221.559	11:03:41 17/08/2015		9.799979E-9	4.899990E-9	-1.00000000	8.5556	
1439802222.430	11:03:42 17/08/2015		9.699980E-9	4.899990E-9	-1.00000000	8.5556	
1439802223.342	11:03:43 17/08/2015		9.899980E-9	4.999990E-9	-1.00000000	8.5556	
1439802224.328	11:03:44 17/08/2015		9.799979E-9	4.999990E-9	-1.00000000	8.5556	
1439802225.324	11:03:45 17/08/2015		9.999992E-9	4.999990E-9	-1.00000000	8.5556	
1439802226.324	11:03:46 17/08/2015		9.799979E-9	4.999990E-9	-1.00000000	8.5556	
1439802227.324	11:03:47 17/08/2015		9.799979E-9	4.999990E-9	-1.00000000	8.5556	
1439802228.189	11:03:48 17/08/2015		9.799979E-9	4.999990E-9	-1.00000000	8.5556	
1439802229.189	11:03:49 17/08/2015		9.899980E-9	4.999990E-9	-1.00000000	8.5556	
1439802230.189	11:03:50 17/08/2015		9.899980E-9	4.999990E-9	-1.00000000	8.5556	
1439802231.189	11:03:51 17/08/2015		9.899980E-9	4.999990E-9	-1.00000000	8.5556	
1439802232.060	11:03:52 17/08/2015		9.899980E-9	4.999990E-9	-1.00000000	8.5556	
1439802233.061	11:03:53 17/08/2015		9.799979E-9	4.899990E-9	-1.00000000	8.5556	
1439802233.881	11:03:53 17/08/2015		9.799979E-9	4.899990E-9	-1.00000000	8.5556	
1439802234.745	11:03:54 17/08/2015		9.599980E-9	4.899990E-9	-1.00000000	8.5556	
1439802235.608	11:03:55 17/08/2015		9.999992E-9	4.899990E-9	-1.00000000	8.5556	
1439802236.475	11:03:56 17/08/2015		9.799979E-9	4.899990E-9	-1.00000000	8.5556	
1439802237.475	11:03:57 17/08/2015		9.699980E-9	4.899990E-9	-1.00000000	8.5556	
1439802238.363	11:03:58 17/08/2015		9.699980E-9	4.899990E-9	-1.00000000	8.5556	
1439802239.328	11:03:59 17/08/2015		9.799979E-9	4.899990E-9	-1.00000000	8.5556	
1439802240.328	11:04:00 17/08/2015		9.699980E-9	4.899990E-9	-1.00000000	8.5556	
1439802241.199	11:04:01 17/08/2015		9.699980E-9	4.899990E-9	-1.00000000	8.5556	
1439802242.208	11:04:02 17/08/2015		9.999992E-9	4.899990E-9	-1.00000000	8.5556	
1439802243.025	11:04:03 17/08/2015		9.799979E-9	4.899990E-9	4.899990E-9	8.5556	
1439802244.026	11:04:04 17/08/2015		9.999992E-9	4.899990E-9	-1.00000000	8.5556	
1439802245.039	11:04:05 17/08/2015		9.999992E-9	4.999990E-9	-1.00000000	8.5556	
1439802245.869	11:04:05 17/08/2015		9.999992E-9	4.999990E-9	4.999990E-9	8.5556	
1439802246.732	11:04:06 17/08/2015		9.899980E-9	4.999990E-9	-1.00000000	8.5556	
1439802247.732	11:04:07 17/08/2015		9.999992E-9	4.999990E-9	-1.00000000	8.5556	
1439802248.753	11:04:08 17/08/2015		9.999992E-9	4.999990E-9	-1.00000000	8.5556	
1439802249.754	11:04:09 17/08/2015		9.999992E-9	4.999990E-9	4.999990E-9	8.5556	
1439802250.755	11:04:10 17/08/2015		9.999992E-9	4.999990E-9	-1.00000000	8.5556	
1439802251.756	11:04:11 17/08/2015		9.999992E-9	4.999990E-9	-1.00000000	8.5556	
1439802252.647	11:04:12 17/08/2015		9.999992E-9	4.999990E-9	-1.00000000	8.5556	
1439802253.512	11:04:13 17/08/2015		9.899980E-9	4.999990E-9	-1.00000000	8.5556	
1439802254.512	11:04:14 17/08/2015		9.999992E-9	4.999990E-9	-1.00000000	8.5556	
1439802255.523	11:04:15 17/08/2015		9.999992E-9	4.999990E-9	-1.00000000	8.5556	
1439802256.345	11:04:16 17/08/2015		9.899980E-9	4.999990E-9	4.999990E-9	8.5556	
1439802257.353	11:04:17 17/08/2015		9.999992E-9	4.899990E-9	-1.00000000	8.5556	
1439802258.354	11:04:18 17/08/2015		9.999992E-9	4.999990E-9	4.899990E-9	8.5556	
1439802259.326	11:04:19 17/08/2015		9.999992E-9	4.999990E-9	-1.00000000	8.5556	
1439802260.326	11:04:20 17/08/2015		9.899980E-9	4.999990E-9	-1.00000000	8.5556	
1439802261.326	11:04:21 17/08/2015		9.699980E-9	4.999990E-9	-1.00000000	8.5556	
1439802262.335	11:04:22 17/08/2015		9.699980E-9	4.999990E-9	-1.00000000	8.5556	
1439802263.343	11:04:23 17/08/2015		9.999992E-9	4.899990E-9	4.999990E-9	8.5556	
1439802264.340	11:04:24 17/08/2015		9.899980E-9	4.899990E-9	4.899990E-9	8.5556	
1439802265.341	11:04:25 17/08/2015		9.999992E-9	4.899990E-9	-1.00000000	8.5556	
1439802266.341	11:04:26 17/08/2015		9.999992E-9	4.899990E-9	-1.00000000	8.5556	
1439802267.320	11:04:27 17/08/2015		9.999992E-9	4.899990E-9	-1.00000000	8.5556	
1439802268.332	11:04:28 17/08/2015		9.899980E-9	4.899990E-9	-1.00000000	8.5556	
1439802269.224	11:04:29 17/08/2015		9.899980E-9	4.899990E-9	4.899990E-9	8.5556	
1439802270.103	11:04:30 17/08/2015		9.999992E-9	4.899990E-9	-1.00000000	8.5556	
1439802271.103	11:04:31 17/08/2015		9.899980E-9	4.899990E-9	-1.00000000	8.5556	
1439802272.103	11:04:32 17/08/2015		9.899980E-9	4.899990E-9	-1.00000000	8.5556	
1439802273.118	11:04:33 17/08/2015		9.899980E-9	4.899990E-9	-1.00000000	8.5556	
1439802273.969	11:04:33 17/08/2015		9.799979E-9	4.899990E-9	4.899990E-9	8.5556	
1439802274.969	11:04:34 17/08/2015		9.899980E-9	4.899990E-9	-1.00000000	8.5556	
1439802275.783	11:04:35 17/08/2015		9.899980E-9	4.899990E-9	-1.00000000	8.5556	
1439802276.783	11:04:36 17/08/2015		9.999992E-9	4.899990E-9	-1.00000000	8.5556	
1439802277.783	11:04:37 17/08/2015		9.999992E-9	4.899990E-9	-1.00000000	8.5556	
1439802278.624	11:04:38 17/08/2015		9.999992E-9	4.899990E-9	-1.00000000	8.5556	
1439802279.496	11:04:39 17/08/2015		9.599980E-9	4.899990E-9	-1.00000000	8.5556	
1439802280.496	11:04:40 17/08/2015		9.899980E-9	4.899990E-9	-1.00000000	8.5556	
1439802281.321	11:04:41 17/08/2015		9.899980E-9	4.999990E-9	-1.00000000	8.5556	
1439802282.322	11:04:42 17/08/2015		9.999992E-9	4.999990E-9	-1.00000000	8.5556	
1439802283.141	11:04:43 17/08/2015		9.999992E-9	4.999990E-9	-1.00000000	8.5556	
1439802284.011	11:04:44 17/08/2015		9.899980E-9	4.999990E-9	-1.00000000	8.5556	
1439802285.012	11:04:45 17/08/2015		9.999992E-9	4.999990E-9	-1.00000000	8.5556	
1439802285.831	11:04:45 17/08/2015		9.999992E-9	4.999990E-9	-1.00000000	8.5556	
1439802286.697	11:04:46 17/08/2015		9.599980E-9	4.999990E-9	-1.00000000	8.5556	
1439802287.559	11:04:47 17/08/2015		9.899980E-9	4.999990E-9	-1.00000000	8.5556	
1439802288.426	11:04:48 17/08/2015		9.699980E-9	4.999990E-9	-1.00000000	8.5556	
1439802289.439	11:04:49 17/08/2015		9.799979E-9	4.999990E-9	-1.00000000	8.5556	
1439802290.320	11:04:50 17/08/2015		9.799979E-9	4.999990E-9	4.999990E-9	8.5556	
1439802291.318	11:04:51 17/08/2015		9.899980E-9	4.999990E-9	-1.00000000	8.5556	
1439802292.319	11:04:52 17/08/2015		9.999992E-9	4.999990E-9	-1.00000000	8.5556	
1439802293.147	11:04:53 17/08/2015		9.999992E-9	4.999990E-9	-1.00000000	8.5556	
1439802294.147	11:04:54 17/08/2015		9.799979E-9	4.999990E-9	-1.00000000	8.5556	
1439802295.148	11:04:55 17/08/2015		9.799979E-9	4.999990E-9	-1.00000000	8.5556	
1439802296.173	11:04:56 17/08/2015		9.799979E-9	4.999990E-9	-1.00000000	8.5556	
1439802296.994	11:04:56 17/08/2015		9.799979E-9	4.999990E-9	4.999990E-9	8.5556	
1439802297.860	11:04:57 17/08/2015		9.699980E-9	4.999990E-9	-1.00000000	8.5556	
1439802298.714	11:04:58 17/08/2015		9.799979E-9	4.999990E-9	-1.00000000	8.5556	
