acqUNIXTime	acqDateTimestamp	VAC.VGHB_41779(mbar)	VAC.VGI_1(mbar)	VAC.VGHB_41740(mbar)	VAC.VGI_2(mbar)	TT900(°C)	
1439796272.158	09:24:32 17/08/2015						8.5556	
1439796273.158	09:24:33 17/08/2015			7.500000E-10	1.000000E+4	4.899990E-9	8.5556	
1439796274.002	09:24:34 17/08/2015		9.499980E-9	1.000000E+4	4.899990E-9	9.499980E-9	8.5556	
1439796275.002	09:24:35 17/08/2015		7.500000E-10	9.499980E-9	9.399980E-9	1.000000E+4	8.5556	
1439796275.849	09:24:35 17/08/2015		1.000000E+4	4.899990E-9	7.500000E-10	4.899990E-9	8.5556	
1439796276.695	09:24:36 17/08/2015		9.399980E-9	7.600000E-10	4.999990E-9	1.000000E+4	8.5556	
1439796277.544	09:24:37 17/08/2015		4.999990E-9	7.600000E-10	9.399980E-9	4.999990E-9	8.5556	
1439796278.544	09:24:38 17/08/2015		9.499980E-9	7.600000E-10	1.000000E+4	1.000000E+4	8.5556	
1439796279.387	09:24:39 17/08/2015		7.500000E-10	7.500000E-10	9.499980E-9	4.999990E-9	8.5556	
1439796280.226	09:24:40 17/08/2015		4.999990E-9	9.499980E-9	9.499980E-9	1.000000E+4	8.5556	
1439796281.226	09:24:41 17/08/2015		7.500000E-10	7.500000E-10	1.000000E+4	4.999990E-9	8.5556	
1439796282.226	09:24:42 17/08/2015		9.499980E-9	4.899990E-9	1.000000E+4	1.000000E+4	8.5556	
1439796283.095	09:24:43 17/08/2015		7.500000E-10	7.500000E-10	9.499980E-9	4.899990E-9	8.5556	
1439796283.943	09:24:43 17/08/2015		4.899990E-9	9.499980E-9	9.499980E-9	1.000000E+4	8.5556	
1439796284.789	09:24:44 17/08/2015		7.500000E-10	7.500000E-10	4.899990E-9	1.000000E+4	8.5556	
1439796285.789	09:24:45 17/08/2015		9.499980E-9	4.899990E-9	1.000000E+4	1.000000E+4	8.5556	
1439796286.633	09:24:46 17/08/2015		7.500000E-10	7.500000E-10	9.499980E-9	4.899990E-9	8.5556	
1439796287.494	09:24:47 17/08/2015		4.999990E-9	9.499980E-9	9.399980E-9	1.000000E+4	8.5556	
1439796288.494	09:24:48 17/08/2015		4.999990E-9	7.500000E-10	1.000000E+4	1.000000E+4	8.5556	
1439796289.334	09:24:49 17/08/2015		9.399980E-9	4.999990E-9	7.500000E-10	1.000000E+4	8.5556	
1439796290.334	09:24:50 17/08/2015		7.500000E-10	9.399980E-9	4.999990E-9	9.399980E-9	8.5556	
1439796291.173	09:24:51 17/08/2015		1.000000E+4	4.999990E-9	7.500000E-10	1.000000E+4	8.5556	
1439796292.033	09:24:52 17/08/2015		9.399980E-9	4.999990E-9	7.500000E-10	1.000000E+4	8.5556	
1439796292.879	09:24:52 17/08/2015		9.399980E-9	4.899990E-9	7.500000E-10	1.000000E+4	8.5556	
1439796293.730	09:24:53 17/08/2015		9.399980E-9	4.999990E-9	7.500000E-10	1.000000E+4	8.5556	
1439796294.569	09:24:54 17/08/2015		4.999990E-9	9.399980E-9	9.399980E-9	7.500000E-10	8.5556	
1439796295.411	09:24:55 17/08/2015		1.000000E+4	4.899990E-9	7.500000E-10	1.000000E+4	8.5556	
1439796296.411	09:24:56 17/08/2015		9.399980E-9	4.899990E-9	1.000000E+4	7.500000E-10	8.5556	
1439796297.258	09:24:57 17/08/2015		9.399980E-9	4.899990E-9	7.500000E-10	1.000000E+4	8.5556	
1439796298.106	09:24:58 17/08/2015		9.399980E-9	4.899990E-9	7.500000E-10	1.000000E+4	8.5556	
1439796298.951	09:24:58 17/08/2015		4.899990E-9	9.399980E-9	9.499980E-9	7.500000E-10	8.5556	
1439796299.951	09:24:59 17/08/2015		4.899990E-9	7.500000E-10	1.000000E+4	1.000000E+4	8.5556	
1439796300.986	09:25:00 17/08/2015		9.499980E-9	4.899990E-9	7.500000E-10	1.000000E+4	8.5556	
1439796302.015	09:25:02 17/08/2015		9.499980E-9	4.899990E-9	7.500000E-10	7.500000E-10	8.5556	
1439796303.030	09:25:03 17/08/2015		9.499980E-9	4.899990E-9	7.500000E-10	7.500000E-10	8.5556	
1439796304.067	09:25:04 17/08/2015		9.499980E-9	4.899990E-9	7.500000E-10	7.500000E-10	8.5556	
1439796305.114	09:25:05 17/08/2015		9.499980E-9	4.999990E-9	7.500000E-10	7.500000E-10	8.5556	
1439796306.156	09:25:06 17/08/2015		9.499980E-9	4.999990E-9	7.500000E-10	7.500000E-10	8.5556	
1439796307.193	09:25:07 17/08/2015		9.499980E-9	7.500000E-10	4.999990E-9	7.500000E-10	8.5556	
1439796308.235	09:25:08 17/08/2015		9.499980E-9	4.999990E-9	7.500000E-10	4.999990E-9	8.5556	
1439796309.267	09:25:09 17/08/2015		4.999990E-9	9.499980E-9	9.499980E-9	4.999990E-9	8.5556	
1439796310.303	09:25:10 17/08/2015		1.000000E+4	4.999990E-9	7.500000E-10	7.500000E-10	8.5556	
1439796311.355	09:25:11 17/08/2015		9.499980E-9	4.999990E-9	7.500000E-10	7.500000E-10	8.5556	
1439796312.387	09:25:12 17/08/2015		9.499980E-9	4.999990E-9	7.500000E-10	7.500000E-10	8.5556	
1439796313.413	09:25:13 17/08/2015		9.499980E-9	4.999990E-9	9.499980E-9	7.500000E-10	8.5556	
1439796314.444	09:25:14 17/08/2015		9.399980E-9	4.999990E-9	7.500000E-10	9.499980E-9	8.5556	
1439796315.461	09:25:15 17/08/2015		4.999990E-9	9.399980E-9	9.399980E-9	9.399980E-9	8.5556	
1439796316.473	09:25:16 17/08/2015		4.899990E-9	7.500000E-10	9.399980E-9	7.500000E-10	8.5556	
1439796317.473	09:25:17 17/08/2015		9.399980E-9	4.899990E-9	9.399980E-9	4.899990E-9	8.5556	
1439796318.473	09:25:18 17/08/2015		7.500000E-10	9.399980E-9	9.399980E-9	4.899990E-9	8.5556	
1439796319.502	09:25:19 17/08/2015		4.899990E-9	1.000000E+4	7.500000E-10	9.399980E-9	8.5556	
1439796320.541	09:25:20 17/08/2015		9.399980E-9	4.899990E-9	7.500000E-10	7.500000E-10	8.5556	
1439796321.573	09:25:21 17/08/2015		9.399980E-9	4.899990E-9	7.500000E-10	7.500000E-10	8.5556	
1439796322.613	09:25:22 17/08/2015		9.399980E-9	7.500000E-10	4.899990E-9	7.500000E-10	8.5556	
1439796323.647	09:25:23 17/08/2015		4.899990E-9	9.399980E-9	9.399980E-9	7.500000E-10	8.5556	
1439796324.654	09:25:24 17/08/2015		4.899990E-9	4.899990E-9	9.399980E-9	4.899990E-9	8.5556	
1439796325.654	09:25:25 17/08/2015		9.399980E-9	4.899990E-9	9.399980E-9	4.899990E-9	8.5556	
1439796326.691	09:25:26 17/08/2015		9.399980E-9	4.899990E-9	7.500000E-10	9.399980E-9	8.5556	
1439796327.733	09:25:27 17/08/2015		9.399980E-9	4.999990E-9	7.500000E-10	7.500000E-10	8.5556	
1439796328.763	09:25:28 17/08/2015		4.899990E-9	9.499980E-9	9.399980E-9	7.500000E-10	8.5556	
1439796329.762	09:25:29 17/08/2015		4.899990E-9	4.899990E-9	9.399980E-9	7.500000E-10	8.5556	
1439796330.800	09:25:30 17/08/2015		9.399980E-9	4.999990E-9	7.500000E-10	9.399980E-9	8.5556	
1439796331.822	09:25:31 17/08/2015		4.999990E-9	9.499980E-9	9.499980E-9	9.399980E-9	8.5556	
1439796332.822	09:25:32 17/08/2015		7.500000E-10	4.999990E-9	9.499980E-9	7.500000E-10	8.5556	
1439796333.852	09:25:33 17/08/2015		9.499980E-9	4.999990E-9	7.500000E-10	9.499980E-9	8.5556	
1439796334.883	09:25:34 17/08/2015		4.999990E-9	9.499980E-9	9.499980E-9	7.500000E-10	8.5556	
1439796335.883	09:25:35 17/08/2015		4.999990E-9	7.500000E-10	9.499980E-9	7.500000E-10	8.5556	
1439796336.904	09:25:36 17/08/2015		4.999990E-9	9.499980E-9	9.499980E-9	7.500000E-10	8.5556	
1439796337.904	09:25:37 17/08/2015		4.999990E-9	4.999990E-9	9.499980E-9	9.499980E-9	8.5556	
1439796338.923	09:25:38 17/08/2015		4.999990E-9	9.499980E-9	9.499980E-9	7.500000E-10	8.5556	
1439796339.923	09:25:39 17/08/2015		4.999990E-9	7.500000E-10	9.499980E-9	9.499980E-9	8.5556	
1439796340.936	09:25:40 17/08/2015		4.999990E-9	9.499980E-9	9.499980E-9	7.500000E-10	8.5556	
1439796341.936	09:25:41 17/08/2015		4.999990E-9	7.500000E-10	9.499980E-9	9.499980E-9	8.5556	
1439796342.962	09:25:42 17/08/2015		9.499980E-9	4.999990E-9	7.500000E-10	9.499980E-9	8.5556	
1439796343.992	09:25:43 17/08/2015		9.499980E-9	4.999990E-9	9.499980E-9	7.500000E-10	8.5556	
1439796345.030	09:25:45 17/08/2015		9.499980E-9	4.899990E-9	7.500000E-10	9.499980E-9	8.5556	
1439796346.076	09:25:46 17/08/2015		9.499980E-9	4.899990E-9	7.500000E-10	7.500000E-10	8.5556	
1439796347.089	09:25:47 17/08/2015		9.499980E-9	7.500000E-10	4.899990E-9	7.500000E-10	8.5556	
1439796348.133	09:25:48 17/08/2015		9.399980E-9	4.899990E-9	7.500000E-10	4.899990E-9	8.5556	
1439796348.965	09:25:48 17/08/2015		9.399980E-9	4.899990E-9	9.399980E-9	7.500000E-10	8.5556	
1439796350.002	09:25:50 17/08/2015		4.899990E-9	9.399980E-9	7.500000E-10	9.399980E-9	8.5556	
1439796351.037	09:25:51 17/08/2015		1.000000E+4	4.899990E-9	4.899990E-9	1.000000E+4	8.5556	
1439796352.071	09:25:52 17/08/2015		4.899990E-9	9.399980E-9	9.399980E-9	7.500000E-10	8.5556	
1439796353.071	09:25:53 17/08/2015		4.899990E-9	7.500000E-10	9.399980E-9	4.899990E-9	8.5556	
1439796354.101	09:25:54 17/08/2015		9.399980E-9	4.899990E-9	7.500000E-10	9.399980E-9	8.5556	
1439796355.337	09:25:55 17/08/2015		9.399980E-9	4.899990E-9	7.500000E-10	7.500000E-10	8.5556	
1439796356.372	09:25:56 17/08/2015		9.399980E-9	4.899990E-9	7.500000E-10	7.500000E-10	8.5556	
1439796357.401	09:25:57 17/08/2015		9.399980E-9	4.899990E-9	7.500000E-10	7.500000E-10	8.5556	
1439796358.440	09:25:58 17/08/2015		9.399980E-9	4.899990E-9	9.399980E-9	7.500000E-10	8.5556	
1439796359.474	09:25:59 17/08/2015		9.399980E-9	4.999990E-9	7.500000E-10	9.399980E-9	8.5556	
1439796360.513	09:26:00 17/08/2015		9.399980E-9	4.999990E-9	9.399980E-9	7.500000E-10	8.5556	
1439796361.552	09:26:01 17/08/2015		9.399980E-9	4.999990E-9	7.500000E-10	9.399980E-9	8.5556	
1439796362.595	09:26:02 17/08/2015		9.399980E-9	4.999990E-9	9.399980E-9	7.500000E-10	8.5556	
1439796363.613	09:26:03 17/08/2015		4.999990E-9	9.399980E-9	9.399980E-9	7.500000E-10	8.5556	
1439796364.626	09:26:04 17/08/2015		4.999990E-9	4.999990E-9	9.399980E-9	9.399980E-9	8.5556	
1439796365.634	09:26:05 17/08/2015		9.499980E-9	4.999990E-9	9.399980E-9	4.999990E-9	8.5556	
1439796366.634	09:26:06 17/08/2015		9.499980E-9	4.999990E-9	9.399980E-9	9.499980E-9	8.5556	
1439796367.683	09:26:07 17/08/2015		9.499980E-9	4.999990E-9	7.500000E-10	9.399980E-9	8.5556	
1439796368.711	09:26:08 17/08/2015		9.499980E-9	4.999990E-9	7.500000E-10	7.500000E-10	8.5556	
1439796369.741	09:26:09 17/08/2015		9.499980E-9	4.999990E-9	7.500000E-10	7.500000E-10	8.5556	
1439796370.770	09:26:10 17/08/2015		9.499980E-9	4.999990E-9	9.499980E-9	7.500000E-10	8.5556	
1439796371.810	09:26:11 17/08/2015		9.499980E-9	4.999990E-9	7.500000E-10	9.499980E-9	8.5556	
1439796372.842	09:26:12 17/08/2015		9.499980E-9	4.999990E-9	7.500000E-10	7.500000E-10	8.5556	
1439796373.876	09:26:13 17/08/2015		9.499980E-9	4.899990E-9	7.500000E-10	7.500000E-10	8.5556	
1439796374.910	09:26:14 17/08/2015		9.499980E-9	4.999990E-9	9.499980E-9	7.500000E-10	8.5556	
1439796375.932	09:26:15 17/08/2015		4.999990E-9	9.499980E-9	9.499980E-9	7.500000E-10	8.5556	
1439796376.932	09:26:16 17/08/2015		4.899990E-9	9.499980E-9	1.000000E+4	4.999990E-9	8.5556	
1439796377.953	09:26:17 17/08/2015		4.899990E-9	9.499980E-9	9.499980E-9	7.500000E-10	8.5556	
1439796378.981	09:26:18 17/08/2015		4.899990E-9	1.000000E+4	7.500000E-10	9.499980E-9	8.5556	
1439796380.010	09:26:20 17/08/2015		4.899990E-9	9.499980E-9	9.499980E-9	7.500000E-10	8.5556	
1439796381.010	09:26:21 17/08/2015		4.899990E-9	7.500000E-10	9.499980E-9	7.500000E-10	8.5556	
1439796382.043	09:26:22 17/08/2015		9.499980E-9	4.899990E-9	7.500000E-10	9.499980E-9	8.5556	
1439796383.074	09:26:23 17/08/2015		9.499980E-9	4.899990E-9	7.500000E-10	7.500000E-10	8.5556	
1439796384.101	09:26:24 17/08/2015		9.499980E-9	4.899990E-9	7.500000E-10	7.500000E-10	8.5556	
1439796385.132	09:26:25 17/08/2015		9.499980E-9	4.899990E-9	7.500000E-10	7.500000E-10	8.5556	
1439796386.162	09:26:26 17/08/2015		9.499980E-9	4.899990E-9	7.500000E-10	7.500000E-10	8.5556	
1439796387.174	09:26:27 17/08/2015		4.899990E-9	9.499980E-9	9.399980E-9	7.500000E-10	8.5556	
1439796388.174	09:26:28 17/08/2015		4.899990E-9	7.500000E-10	9.399980E-9	7.500000E-10	8.5556	
