acqUNIXTime	acqDateTimestamp	VAC.VGHB_41779(mbar)	VAC.VGI_1(mbar)	VAC.VGHB_41740(mbar)	VAC.VGI_2(mbar)	TT900(°C)	
1439798204.052	09:56:44 17/08/2015		9.399980E-9	4.999990E-9	7.500000E-10	-1.00000000	8.5556	
1439798205.067	09:56:45 17/08/2015		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439798206.067	09:56:46 17/08/2015		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439798207.067	09:56:47 17/08/2015		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439798208.081	09:56:48 17/08/2015		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439798209.081	09:56:49 17/08/2015		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439798210.081	09:56:50 17/08/2015		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439798211.081	09:56:51 17/08/2015		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439798212.081	09:56:52 17/08/2015		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439798213.081	09:56:53 17/08/2015		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439798214.081	09:56:54 17/08/2015		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439798215.081	09:56:55 17/08/2015		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439798216.081	09:56:56 17/08/2015		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439798217.081	09:56:57 17/08/2015		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439798218.080	09:56:58 17/08/2015		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439798219.080	09:56:59 17/08/2015		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439798220.080	09:57:00 17/08/2015		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439798221.080	09:57:01 17/08/2015		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439798222.080	09:57:02 17/08/2015		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439798223.101	09:57:03 17/08/2015		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439798224.101	09:57:04 17/08/2015		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439798225.101	09:57:05 17/08/2015		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439798226.101	09:57:06 17/08/2015		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
