acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	VGHB_41740(mbar)	TT909(°C)	VGHB_41752(mbar)	
1439555308.335	20150814_142828		1.000000E+4		292.4036	1.100000E-8	
1439555310.393	20150814_142830		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555312.430	20150814_142832		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555314.461	20150814_142834		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555316.500	20150814_142836		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
