acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	VGHB_41740(mbar)	TT909(°C)	VGHB_41752(mbar)	
1439555167.629	20150814_142607			1.300000E-8	292.4036		
1439555173.645	20150814_142613		1.000000E+4	1.000000E+4	292.4036	1.100000E-8	
1439555179.730	20150814_142619		1.000000E+4	1.000000E+4	292.4036	1.100000E-8	
1439555185.768	20150814_142625		1.000000E+4	1.000000E+4	292.4036	1.100000E-8	
1439555194.000	20150814_142634		1.000000E+4	1.000000E+4	292.4036	1.100000E-8	
1439555202.598	20150814_142642		1.000000E+4	1.000000E+4	292.4036	1.100000E-8	
1439555208.680	20150814_142648		1.000000E+4	1.000000E+4	292.4036	1.100000E-8	
1439555214.766	20150814_142654		1.000000E+4	1.000000E+4	292.4036	1.100000E-8	
1439555220.823	20150814_142700		1.000000E+4	1.000000E+4	292.4036	1.100000E-8	
