acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	(mbar)	VGI_2(°C)	VGHB_41779(°C)	VAC.VGI_3(°C)	(°C)	
1439396448.213	20150812_182048		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396448.615	20150812_182048		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396448.930	20150812_182048		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396449.316	20150812_182049		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396449.716	20150812_182049		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396450.163	20150812_182050		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396450.519	20150812_182050		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396450.821	20150812_182050		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396451.220	20150812_182051		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396451.535	20150812_182051		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396451.922	20150812_182051		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396452.322	20150812_182052		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396452.722	20150812_182052		1.400000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396453.123	20150812_182053		1.400000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396453.522	20150812_182053		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396453.923	20150812_182053		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396454.223	20150812_182054		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396454.537	20150812_182054		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396454.938	20150812_182054		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396455.325	20150812_182055		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396455.725	20150812_182055		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396456.125	20150812_182056		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396456.525	20150812_182056		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396456.926	20150812_182056		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396457.325	20150812_182057		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396457.726	20150812_182057		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396458.130	20150812_182058		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396458.527	20150812_182058		1.400000E-8	6.199987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396458.927	20150812_182058		1.400000E-8	6.199987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396459.327	20150812_182059		1.400000E-8	6.199987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396459.772	20150812_182059		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396460.127	20150812_182100		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396460.529	20150812_182100		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396460.828	20150812_182100		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396461.142	20150812_182101		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396461.429	20150812_182101		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396461.731	20150812_182101		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396462.031	20150812_182102		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396462.331	20150812_182102		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396462.746	20150812_182102		1.300000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396463.133	20150812_182103		1.300000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396463.532	20150812_182103		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396463.933	20150812_182103		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396464.334	20150812_182104		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396464.733	20150812_182104		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396465.134	20150812_182105		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396465.532	20150812_182105		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396465.833	20150812_182105		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396466.148	20150812_182106		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396466.435	20150812_182106		1.300000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396466.848	20150812_182106		1.300000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396467.236	20150812_182107		1.300000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396467.636	20150812_182107		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396467.935	20150812_182107		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396468.335	20150812_182108		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396468.651	20150812_182108		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396469.036	20150812_182109		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396469.436	20150812_182109		1.400000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
