acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	VGHB_41740(mbar)	VGHB_41752(mbar)	
1439558613.409	20150814_152333			1.300000E-8		
1439558616.409	20150814_152336		1.000000E+4	1.000000E+4	1.100000E-8	
1439558619.409	20150814_152339		1.000000E+4	1.000000E+4	1.100000E-8	
1439558622.408	20150814_152342		1.000000E+4	1.000000E+4	1.100000E-8	
1439558625.408	20150814_152345		1.000000E+4	1.000000E+4	1.100000E-8	
1439558628.408	20150814_152348		1.000000E+4	1.000000E+4	1.100000E-8	
1439558631.408	20150814_152351		1.000000E+4	1.000000E+4	1.100000E-8	
1439558634.408	20150814_152354		1.000000E+4	1.000000E+4	1.100000E-8	
1439558637.408	20150814_152357		1.000000E+4	1.000000E+4	1.100000E-8	
1439558640.407	20150814_152400		1.000000E+4	1.000000E+4	1.100000E-8	
1439558643.407	20150814_152403		1.000000E+4	1.000000E+4	1.100000E-8	
1439558646.407	20150814_152406		1.000000E+4	1.000000E+4	1.100000E-8	
1439558649.407	20150814_152409		1.000000E+4	1.000000E+4	1.100000E-8	
1439558652.409	20150814_152412		1.000000E+4	1.000000E+4	1.100000E-8	
1439558655.408	20150814_152415		1.000000E+4	1.000000E+4	1.100000E-8	
1439558658.408	20150814_152418		1.000000E+4	1.000000E+4	1.100000E-8	
1439558661.408	20150814_152421		1.000000E+4	1.000000E+4	1.100000E-8	
1439558664.408	20150814_152424		1.000000E+4	1.000000E+4	1.100000E-8	
1439558667.408	20150814_152427		1.000000E+4	1.000000E+4	1.100000E-8	
1439558670.408	20150814_152430		1.000000E+4	1.000000E+4	1.100000E-8	
1439558676.489	20150814_152436		1.000000E+4	1.000000E+4	1.100000E-8	
1439558692.702	20150814_152452		1.000000E+4	1.000000E+4	1.100000E-8	
