acqUNIXTime	acqDateTimestamp	VGI_2(mbar)	VGI_1(mbar)	
1439558888.418	20150814_152808		6.099987E-9	1.099999E-8	
1439558889.419	20150814_152809		5.899988E-9	1.099999E-8	
1439558890.419	20150814_152810		5.899988E-9	9.999992E-9	
1439558891.419	20150814_152811		5.899988E-9	1.099999E-8	
1439558892.515	20150814_152812		5.899988E-9	1.099999E-8	
1439558892.530	20150814_152812		5.899988E-9	9.999992E-9	
1439558893.637	20150814_152813		5.799988E-9	1.099999E-8	
1439558894.637	20150814_152814		5.799988E-9	1.099999E-8	
1439558895.637	20150814_152815		5.799988E-9	9.999992E-9	
1439558896.637	20150814_152816		5.799988E-9	1.099999E-8	
1439558897.637	20150814_152817		5.799988E-9	1.099999E-8	
1439558898.637	20150814_152818		5.799988E-9	9.999992E-9	
1439558899.637	20150814_152819		5.799988E-9	1.099999E-8	
1439558900.550	20150814_152820		5.799988E-9	1.099999E-8	
1439558901.540	20150814_152821		5.899988E-9	9.999992E-9	
1439558902.539	20150814_152822		5.799988E-9	1.099999E-8	
1439558903.539	20150814_152823		5.899988E-9	1.099999E-8	
1439558903.545	20150814_152823		5.899988E-9	9.999992E-9	
1439558904.537	20150814_152824		5.799988E-9	1.099999E-8	
1439558905.537	20150814_152825		5.899988E-9	1.099999E-8	
1439558905.544	20150814_152825		5.899988E-9	9.999992E-9	
1439558906.534	20150814_152826		5.799988E-9	1.099999E-8	
1439558907.535	20150814_152827		5.899988E-9	1.099999E-8	
1439558908.535	20150814_152828		5.899988E-9	9.999992E-9	
1439558908.540	20150814_152828		5.899988E-9	1.099999E-8	
1439558909.534	20150814_152829		5.999988E-9	1.099999E-8	
1439558910.534	20150814_152830		5.899988E-9	9.999992E-9	
1439558910.538	20150814_152830		5.899988E-9	1.099999E-8	
1439558911.538	20150814_152831		5.799988E-9	1.099999E-8	
1439558911.544	20150814_152831		5.799988E-9	9.999992E-9	
1439558912.544	20150814_152832		5.899988E-9	1.099999E-8	
1439558913.540	20150814_152833		5.899988E-9	1.099999E-8	
1439558914.536	20150814_152834		5.799988E-9	9.999992E-9	
1439558915.536	20150814_152835		5.899988E-9	1.099999E-8	
1439558916.536	20150814_152836		5.899988E-9	1.099999E-8	
1439558917.535	20150814_152837		5.899988E-9	9.999992E-9	
1439558918.535	20150814_152838		5.899988E-9	1.099999E-8	
1439558919.535	20150814_152839		5.899988E-9	1.099999E-8	
1439558919.536	20150814_152839		5.899988E-9	9.999992E-9	
1439558920.537	20150814_152840		5.999988E-9	1.099999E-8	
1439558921.536	20150814_152841		5.999988E-9	1.099999E-8	
