acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	VGHB_41740(mbar)	VGI_2(°C)	VGHB_41779(°C)	VAC.VGI_3(°C)	VGI_1(°C)	VGHB_41752(°C)	
1439376321.459	20150812_124521		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376321.659	20150812_124521		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376321.859	20150812_124521		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376322.059	20150812_124522		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376322.259	20150812_124522		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376322.483	20150812_124522		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376322.681	20150812_124522		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376322.921	20150812_124522		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376323.159	20150812_124523		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376323.359	20150812_124523		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376323.560	20150812_124523		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376323.760	20150812_124523		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376323.960	20150812_124523		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376324.184	20150812_124524		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376324.382	20150812_124524		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376324.582	20150812_124524		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376324.782	20150812_124524		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376324.984	20150812_124524		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376325.183	20150812_124525		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376325.383	20150812_124525		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376325.584	20150812_124525		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376325.785	20150812_124525		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376325.984	20150812_124525		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376326.184	20150812_124526		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376326.383	20150812_124526		1.400000E-8	1.000000E+4	6.199987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376326.582	20150812_124526		1.400000E-8	1.000000E+4	6.199987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376326.783	20150812_124526		1.400000E-8	1.000000E+4	6.199987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376326.984	20150812_124526		1.400000E-8	1.000000E+4	6.199987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376327.184	20150812_124527		1.400000E-8	1.000000E+4	6.199987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376327.384	20150812_124527		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376327.585	20150812_124527		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376327.786	20150812_124527		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376327.987	20150812_124527		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376328.186	20150812_124528		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376328.388	20150812_124528		1.400000E-8	1.000000E+4	6.199987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376328.588	20150812_124528		1.400000E-8	1.000000E+4	6.199987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376328.787	20150812_124528		1.400000E-8	1.000000E+4	6.199987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376328.987	20150812_124528		1.400000E-8	1.000000E+4	6.199987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376329.189	20150812_124529		1.400000E-8	1.000000E+4	6.199987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376329.390	20150812_124529		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376329.588	20150812_124529		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376329.789	20150812_124529		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376329.992	20150812_124529		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376330.191	20150812_124530		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376330.391	20150812_124530		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376330.591	20150812_124530		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376330.794	20150812_124530		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376330.994	20150812_124530		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376331.194	20150812_124531		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376331.393	20150812_124531		1.400000E-8	1.000000E+4	6.199987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376331.675	20150812_124531		1.400000E-8	1.000000E+4	6.199987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376331.876	20150812_124531		1.400000E-8	1.000000E+4	6.199987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376332.075	20150812_124532		1.400000E-8	1.000000E+4	6.199987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376332.277	20150812_124532		1.400000E-8	1.000000E+4	6.199987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376332.477	20150812_124532		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376332.698	20150812_124532		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376332.899	20150812_124532		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376333.099	20150812_124533		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376333.299	20150812_124533		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376333.499	20150812_124533		1.400000E-8	1.000000E+4	6.199987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376333.700	20150812_124533		1.400000E-8	1.000000E+4	6.199987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376333.978	20150812_124533		1.400000E-8	1.000000E+4	6.199987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376334.178	20150812_124534		1.400000E-8	1.000000E+4	6.199987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376334.379	20150812_124534		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376334.578	20150812_124534		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376334.780	20150812_124534		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376335.004	20150812_124535		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376335.202	20150812_124535		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376335.404	20150812_124535		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376335.603	20150812_124535		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376335.805	20150812_124535		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376336.006	20150812_124536		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376336.202	20150812_124536		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376336.485	20150812_124536		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.199999E-8	1.099999E-8	1.100000E-8	
1439376336.684	20150812_124536		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.199999E-8	1.099999E-8	1.100000E-8	
1439376336.884	20150812_124536		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.199999E-8	1.099999E-8	1.100000E-8	
1439376337.085	20150812_124537		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.199999E-8	1.099999E-8	1.100000E-8	
1439376337.284	20150812_124537		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.199999E-8	1.099999E-8	1.100000E-8	
1439376337.507	20150812_124537		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
1439376337.706	20150812_124537		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	1.100000E-8	
