acqUNIXTime	acqDateTimestamp	VAC.VGHB_41779(mbar)	VAC.VGI_1(mbar)	VAC.VGHB_41740(mbar)	VAC.VGI_2(mbar)	TT900(°C)	
1439650420.613	20150815_165340		8.600000E-10	5.499988E-9	8.600000E-10	5.499988E-9	8.5556	
1439650421.613	20150815_165341		9.999992E-9	8.700000E-10	1.000000E+4	5.399989E-9	8.5556	
1439650422.613	20150815_165342		8.500000E-10	9.999992E-9	8.700000E-10	5.499988E-9	8.5556	
1439650423.443	20150815_165343		1.000000E+4	5.499988E-9	9.999992E-9	1.000000E+4	8.5556	
1439650424.299	20150815_165344		8.500000E-10	9.000000E-10	9.999992E-9	1.000000E+4	8.5556	
1439650425.299	20150815_165345		9.999992E-9	1.000000E+4	5.499988E-9	5.499988E-9	8.5556	
1439650426.172	20150815_165346		9.000000E-10	8.700000E-10	9.999992E-9	1.000000E+4	8.5556	
1439650427.171	20150815_165347		1.000000E+4	9.999992E-9	5.499988E-9	5.499988E-9	8.5556	
1439650428.171	20150815_165348		8.700000E-10	9.000000E-10	1.000000E+4	9.999992E-9	8.5556	
1439650429.171	20150815_165349		9.999992E-9	5.499988E-9	1.000000E+4	5.499988E-9	8.5556	
1439650430.005	20150815_165350		8.700000E-10	8.700000E-10	9.999992E-9	5.399989E-9	8.5556	
1439650431.005	20150815_165351		5.399989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439650431.890	20150815_165351		8.800000E-10	5.399989E-9	8.800000E-10	9.999992E-9	8.5556	
1439650432.890	20150815_165352		5.399989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439650433.765	20150815_165353		1.000000E+4	8.800000E-10	5.399989E-9	9.999992E-9	8.5556	
1439650434.621	20150815_165354		5.499988E-9	8.800000E-10	9.999992E-9	1.000000E+4	8.5556	
1439650435.486	20150815_165355		8.700000E-10	8.700000E-10	5.499988E-9	9.999992E-9	8.5556	
1439650436.486	20150815_165356		5.499988E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439650437.367	20150815_165357		8.700000E-10	8.700000E-10	5.499988E-9	9.999992E-9	8.5556	
1439650438.367	20150815_165358		5.499988E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439650439.241	20150815_165359		8.700000E-10	5.499988E-9	8.800000E-10	9.999992E-9	8.5556	
1439650440.241	20150815_165400		5.399989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439650441.113	20150815_165401		8.800000E-10	5.399989E-9	8.800000E-10	9.999992E-9	8.5556	
1439650441.979	20150815_165401		1.000000E+4	5.399989E-9	9.999992E-9	1.000000E+4	8.5556	
1439650442.845	20150815_165402		5.399989E-9	8.800000E-10	9.999992E-9	1.000000E+4	8.5556	
1439650443.694	20150815_165403		8.800000E-10	8.700000E-10	5.399989E-9	9.999992E-9	8.5556	
1439650444.556	20150815_165404		5.399989E-9	1.000000E+4	9.999992E-9	1.000000E+4	8.5556	
1439650445.423	20150815_165405		8.700000E-10	8.700000E-10	5.399989E-9	1.000000E+4	8.5556	
1439650446.423	20150815_165406		5.399989E-9	9.999992E-9	1.000000E+4	9.999992E-9	8.5556	
1439650447.285	20150815_165407		8.700000E-10	5.399989E-9	8.700000E-10	9.999992E-9	8.5556	
1439650448.142	20150815_165408		5.399989E-9	1.000000E+4	9.999992E-9	1.000000E+4	8.5556	
1439650448.998	20150815_165408		8.700000E-10	5.399989E-9	8.800000E-10	1.000000E+4	8.5556	
1439650449.998	20150815_165409		5.399989E-9	9.999992E-9	1.000000E+4	9.999992E-9	8.5556	
1439650450.875	20150815_165410		8.800000E-10	8.800000E-10	5.399989E-9	9.999992E-9	8.5556	
1439650451.875	20150815_165411		5.299989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439650452.878	20150815_165412		8.800000E-10	8.800000E-10	5.299989E-9	9.999992E-9	8.5556	
1439650453.878	20150815_165413		5.299989E-9	9.999992E-9	5.299989E-9	1.000000E+4	8.5556	
1439650454.884	20150815_165414		8.800000E-10	8.800000E-10	5.299989E-9	9.999992E-9	8.5556	
1439650455.886	20150815_165415		9.999992E-9	5.299989E-9	5.299989E-9	5.299989E-9	8.5556	
1439650456.900	20150815_165416		8.700000E-10	8.700000E-10	5.299989E-9	5.299989E-9	8.5556	
1439650457.900	20150815_165417		5.299989E-9	8.700000E-10	5.299989E-9	5.299989E-9	8.5556	
1439650458.912	20150815_165418		8.700000E-10	8.700000E-10	5.299989E-9	8.700000E-10	8.5556	
1439650459.912	20150815_165419		5.299989E-9	8.700000E-10	5.299989E-9	5.299989E-9	8.5556	
1439650460.922	20150815_165420		8.700000E-10	8.700000E-10	5.299989E-9	8.700000E-10	8.5556	
1439650461.925	20150815_165421		5.299989E-9	5.299989E-9	9.999992E-9	5.299989E-9	8.5556	
1439650462.930	20150815_165422		5.299989E-9	8.700000E-10	9.999992E-9	9.999992E-9	8.5556	
1439650463.934	20150815_165423		8.700000E-10	8.600000E-10	5.299989E-9	8.700000E-10	8.5556	
1439650464.934	20150815_165424		8.600000E-10	5.299989E-9	5.299989E-9	9.999992E-9	8.5556	
1439650465.949	20150815_165425		8.600000E-10	5.299989E-9	8.600000E-10	9.999992E-9	8.5556	
1439650466.949	20150815_165426		5.299989E-9	5.299989E-9	8.600000E-10	5.299989E-9	8.5556	
1439650467.962	20150815_165427		8.600000E-10	5.399989E-9	8.600000E-10	5.299989E-9	8.5556	
