acqUNIXTime	acqDateTimestamp	VAC.VGHB_41779(°C)	VAC.VGI_1(°C)	VAC.VGHB_41740(mbar)	VAC.VGI_2(°C)	(mbar)	
1439642636.595	20150815_144356						8.5556	
1439642637.935	20150815_144357		1.000000E+4	9.000000E-10	9.999992E-9	5.299989E-9	8.5556	
1439642638.803	20150815_144358		5.499988E-9	8.800000E-10	9.999992E-9	1.000000E+4	8.5556	
1439642639.650	20150815_144359		5.499988E-9	8.800000E-10	9.999992E-9	1.000000E+4	8.5556	
1439642640.520	20150815_144400		5.299989E-9	1.000000E+4	9.200000E-10	9.999992E-9	8.5556	
1439642641.388	20150815_144401		9.999992E-9	9.200000E-10	5.299989E-9	1.000000E+4	8.5556	
1439642642.405	20150815_144402		5.399989E-9	9.200000E-10	9.999992E-9	1.000000E+4	8.5556	
1439642643.269	20150815_144403		9.000000E-10	9.000000E-10	5.399989E-9	9.999992E-9	8.5556	
1439642644.125	20150815_144404		5.299989E-9	1.000000E+4	9.999992E-9	1.000000E+4	8.5556	
1439642645.157	20150815_144405		9.000000E-10	5.399989E-9	9.000000E-10	1.000000E+4	8.5556	
1439642646.157	20150815_144406		5.399989E-9	9.999992E-9	1.000000E+4	9.999992E-9	8.5556	
1439642646.976	20150815_144406		5.399989E-9	9.000000E-10	9.999992E-9	1.000000E+4	8.5556	
1439642647.838	20150815_144407		9.100000E-10	5.399989E-9	9.100000E-10	9.999992E-9	8.5556	
1439642648.938	20150815_144408		5.399989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439642649.809	20150815_144409		9.100000E-10	5.299989E-9	9.100000E-10	9.999992E-9	8.5556	
1439642650.659	20150815_144410		5.299989E-9	1.000000E+4	9.999992E-9	1.000000E+4	8.5556	
1439642651.499	20150815_144411		9.100000E-10	1.000000E+4	5.299989E-9	9.100000E-10	8.5556	
1439642652.499	20150815_144412		5.299989E-9	9.999992E-9	1.000000E+4	9.999992E-9	8.5556	
1439642653.320	20150815_144413		9.000000E-10	9.000000E-10	5.299989E-9	1.000000E+4	8.5556	
1439642654.319	20150815_144414		5.299989E-9	9.999992E-9	1.000000E+4	9.999992E-9	8.5556	
1439642655.171	20150815_144415		9.000000E-10	5.299989E-9	9.000000E-10	9.999992E-9	8.5556	
1439642656.171	20150815_144416		5.299989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439642657.032	20150815_144417		9.000000E-10	5.399989E-9	9.000000E-10	9.999992E-9	8.5556	
1439642658.033	20150815_144418		5.399989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439642658.889	20150815_144418		9.000000E-10	5.399989E-9	9.100000E-10	9.999992E-9	8.5556	
1439642659.889	20150815_144419		5.399989E-9	1.000000E+4	1.000000E+4	9.999992E-9	8.5556	
1439642660.889	20150815_144420		9.100000E-10	9.999992E-9	5.399989E-9	9.100000E-10	8.5556	
1439642661.889	20150815_144421		5.399989E-9	1.000000E+4	1.000000E+4	9.999992E-9	8.5556	
1439642662.748	20150815_144422		9.100000E-10	5.399989E-9	9.100000E-10	9.999992E-9	8.5556	
1439642663.845	20150815_144423		5.399989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439642664.713	20150815_144424		9.100000E-10	5.399989E-9	9.100000E-10	9.999992E-9	8.5556	
1439642665.578	20150815_144425		5.299989E-9	1.000000E+4	9.999992E-9	1.000000E+4	8.5556	
1439642666.582	20150815_144426		9.000000E-10	9.000000E-10	5.299989E-9	1.000000E+4	8.5556	
1439642667.642	20150815_144427		9.999992E-9	5.299989E-9	9.999992E-9	5.299989E-9	8.5556	
1439642669.113	20150815_144429		5.299989E-9	9.999992E-9	9.000000E-10	9.999992E-9	8.5556	
1439642670.117	20150815_144430		9.000000E-10	5.299989E-9	9.000000E-10	9.000000E-10	8.5556	
1439642671.122	20150815_144431		5.299989E-9	9.000000E-10	5.299989E-9	9.999992E-9	8.5556	
