acqUNIXTime	acqDateTimestamp	VAC.VGHB_41779(°C)	VAC.VGI_1(°C)	VAC.VGHB_41740(mbar)	VAC.VGI_2(°C)	(mbar)	
1439642747.117	20150815_144547		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642748.658	20150815_144548		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642749.658	20150815_144549		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642750.665	20150815_144550		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642751.669	20150815_144551		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642752.675	20150815_144552		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642753.678	20150815_144553		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642754.690	20150815_144554		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642755.690	20150815_144555		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642756.834	20150815_144556		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642757.838	20150815_144557		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642758.837	20150815_144558		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642759.837	20150815_144559		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642760.841	20150815_144600		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642761.844	20150815_144601		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642762.848	20150815_144602		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642763.862	20150815_144603		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642764.886	20150815_144604		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642765.895	20150815_144605		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642766.899	20150815_144606		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642767.899	20150815_144607		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642768.899	20150815_144608		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642769.903	20150815_144609		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
