CommTime	UNIX timestamp		Time (ms)		VAC.VGI_1/PR (mbar)
18.000000	3520403790189		30			1.399999E-8
19.000000	3520403790207		18			1.399999E-8
16.000000	3520403790226		20			1.399999E-8
15.000000	3520403790242		16			1.399999E-8
17.000000	3520403790257		16			1.399999E-8
16.000000	3520403790274		17			1.399999E-8
19.000000	3520403790290		16			1.399999E-8
17.000000	3520403790309		20			1.399999E-8
17.000000	3520403790326		17			1.399999E-8
18.000000	3520403790343		18			1.399999E-8
17.000000	3520403790361		18			1.399999E-8
15.000000	3520403790377		17			1.399999E-8
16.000000	3520403790393		16			1.399999E-8
14.000000	3520403790409		16			1.399999E-8
15.000000	3520403790423		15			1.399999E-8
16.000000	3520403790438		15			1.399999E-8
15.000000	3520403790454		16			1.399999E-8
14.000000	3520403790469		16			1.399999E-8
16.000000	3520403790484		15			1.399999E-8
15.000000	3520403790500		16			1.399999E-8
14.000000	3520403790515		16			1.399999E-8
16.000000	3520403790529		14			1.399999E-8
14.000000	3520403790544		16			1.399999E-8
15.000000	3520403790559		15			1.399999E-8
18.000000	3520403790574		15			1.399999E-8
15.000000	3520403790592		19			1.399999E-8
19.000000	3520403790608		16			1.399999E-8
15.000000	3520403790627		19			1.399999E-8
15.000000	3520403790642		16			1.399999E-8
15.000000	3520403790657		15			1.399999E-8
16.000000	3520403790672		16			1.399999E-8
14.000000	3520403790688		16			1.399999E-8
18.000000	3520403790702		14			1.399999E-8
15.000000	3520403790720		19			1.399999E-8
16.000000	3520403790735		15			1.399999E-8
15.000000	3520403790751		16			1.399999E-8
15.000000	3520403790766		16			1.399999E-8
14.000000	3520403790782		16			1.399999E-8
16.000000	3520403790796		15			1.399999E-8
16.000000	3520403790812		16			1.399999E-8
16.000000	3520403790828		16			1.399999E-8
15.000000	3520403790844		17			1.399999E-8
15.000000	3520403790859		15			1.399999E-8
14.000000	3520403790874		15			1.399999E-8
17.000000	3520403790888		15			1.399999E-8
16.000000	3520403790905		17			1.399999E-8
16.000000	3520403790921		17			1.399999E-8
15.000000	3520403790937		16			1.399999E-8
